district_name,district_in_scheme,district_in_map,updated_district_name
angul,1,0,anugul
anugul,0,1,anugul
balasore,0,1,balasore
baleshwar,1,0,balasore
baragarh,0,1,baragarh
bargarh,1,0,baragarh
bhadrak,1,1,bhadrak
bolangir,1,1,bolangir
boudh,1,1,boudh
cuttack,1,1,cuttack
deogarh,1,1,deogarh
dhenkanal,1,1,dhenkanal
gajapati,0,1,gajapati
gajpati,1,0,gajapati
ganjam,1,1,ganjam
jagatsingapur,0,1,jagatsingapur
jagatsinghapur,1,0,jagatsingapur
jajpur,1,1,jajpur
jharsuguda,1,1,jharsuguda
kalahandi,1,1,kalahandi
kandhamal,1,0,kandhamal(phulbani)
kandhamal(phulbani),0,1,kandhamal(phulbani)
kendrapara,1,1,kendrapara
kendujhar,1,0,keonjhar
keonjhar,0,1,keonjhar
khordha,1,0,khurda
khurda,0,1,khurda
koraput,1,1,koraput
malkangiri,1,1,malkangiri
mayurbhanj,1,1,mayurbhanj
nabarangapur,1,0,nabrangpur
nabrangpur,0,1,nabrangpur
nayagarh,1,1,nayagarh
nuapada,1,0,nuapara
nuapara,0,1,nuapara
puri,1,1,puri
rayagada,1,1,rayagada
sambalpur,1,1,sambalpur
sonapur (subarnapur),0,1,sonapur (subarnapur)
sonepur,1,0,sonapur (subarnapur)
sundargarh,1,1,sundargarh
