district_name,district_in_scheme,district_in_map,updated_district_name
angul,1,0,anugul
anugul,0,1,anugul
balasore,0,1,balasore
baleshwar,1,0,balasore
baragarh,0,1,baragarh
bargarh,1,0,baragarh
bhadrak,1,1,
bolangir,1,1,
boudh,1,1,
cuttack,1,1,
deogarh,1,1,
dhenkanal,1,1,
gajapati,1,1,
ganjam,1,1,
jagatsinghapur,1,1,
jajpur,1,1,
jharsuguda,1,1,
kalahandi,1,1,
kandamal,1,0,kandhamal
kandhamal,0,1,kandhamal
kendhujar,1,0,keonjhar
kendrapara,1,1,
keonjhar,0,1,keonjhar
khordha,1,0,khurda
khurda,0,1,khurda
koraput,1,1,
malkangiri,1,1,
mayurbhanj,1,1,
nabarangpur,1,0,nabrangpur
nabrangpur,0,1,nabrangpur
nayagarh,1,1,
nuapada,1,0,nuapara
nuapara,0,1,nuapara
puri,1,1,
rayagada,1,1,
sambalpur,1,1,
sonepur,1,1,
sundargarh,1,1,
