SL NO. for AC,AC,Blocks,Gram Panchayats,Notified Area Council (NAC),Municipality (M),Municipal Corporation (MC),Outgrowth (OG),Wards of ULBs,District,Sl. No. of PCs,PCs,REMARKS
1,1 Padampur,Jharbandh,AMTHI,,,,,,Baragarh,1,Bargarh,"   Three complete blocks of Jharbandh, Paikmal and Rajborasmbar and Padampur NAC."
1,1 Padampur,Jharbandh,BHAINSADARHA,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,BHANDARPURI,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,BILASPUR,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,CHANDIVATA,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,CHOTANKI,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,DAVA,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,GOTHUGUDA,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,JAGDALPUR,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,JHARBANDH,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,KANDADANGAR,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,KUMIR,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,KURLUPALI,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Jharbandh,LAUDIDHARA,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Paikmal,BADIKATA,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Paikmal,BARTUNDA,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Paikmal,BHENGARAJPUR,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Paikmal,BHUBANESWARPUR,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Paikmal,BUKRAMUNDA,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Paikmal,CHARDAPALI,,,,,,Baragarh,1,Bargarh,
1,1 Padampur,Paikmal,CHHENDEIKELA,,,,,,Baragarh,1,Bargarh,
