SL NO. for AC,AC,ULB,Wards of ULBs,District,PCs,Sl. No. of PCs,Notified Area Council (NAC),Municipality (M),Municipal Corporation (MC),Outgrowth (OG)
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.1,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.10,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.11,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.2,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.3,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.4,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.5,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.6,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.7,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.8,Baragarh,Bargarh,1,Padampur (NAC),,,
1,1 Padampur,Padampur (NAC),Padmapur (NAC) - Ward No.9,Baragarh,Bargarh,1,Padampur (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.1,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.10,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.11,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.2,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.3,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.4,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.5,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.6,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.7,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.8,Baragarh,Bargarh,1,Barpali (NAC),,,
2,2 Bijepur,Barpali (NAC),Barapali (NAC) - Ward No.9,Baragarh,Bargarh,1,Barpali (NAC),,,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.1,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.10,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.11,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.12,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.13,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.14,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.15,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.16,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.17,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No. 18,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No. 19,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.2,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.3,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.4,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.5,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.6,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.7,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.8,Baragarh,Bargarh,1,,Bargarh (M),,
3,3 Bargarh,Bargarh (M),Bargarh (M) - Ward No.9,Baragarh,Bargarh,1,,Bargarh (M),,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 1,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 10,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 11,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 12,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 2,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 3,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 4,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 5,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 6,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 7,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 8,Baragarh,Bargarh,1,Attabira (NAC),,,
4,4 Attabira (SC),Attabira (NAC),Attabira (NAC) - Ward No. 9,Baragarh,Bargarh,1,Attabira (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.1,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.10,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.11,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.12,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.13,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.14,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.15,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.16,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.2,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.3,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.4,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.5,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.6,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.7,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.8,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Belpahar (NAC),Belpahar (M) - Ward No.9,Jharsuguda,Bargarh,1,Belpahar (NAC),,,
6,6 Brajarajnagar,Brajarajnagar (M),Brajarajnagar Ward No - 1,Jharsuguda,Bargarh,1,,Brajarajnagar (M),,
6,6 Brajarajnagar,Brajarajnagar (M),Brajarajnagar Ward No - 2,Jharsuguda,Bargarh,1,,Brajarajnagar (M),,
