g_ac_id,g_ac,g_block,g_gp,g_district,g_pc,g_match_id
1,1 padampur,jharbandh,amthi,baragarh,bargarh,1
1,1 padampur,jharbandh,bhainsadarha,baragarh,bargarh,2
1,1 padampur,jharbandh,bhandarpuri,baragarh,bargarh,3
1,1 padampur,jharbandh,bilaspur,baragarh,bargarh,4
1,1 padampur,jharbandh,chandivata,baragarh,bargarh,5
1,1 padampur,jharbandh,chotanki,baragarh,bargarh,6
1,1 padampur,jharbandh,dava,baragarh,bargarh,7
1,1 padampur,jharbandh,gothuguda,baragarh,bargarh,8
1,1 padampur,jharbandh,jagdalpur,baragarh,bargarh,9
1,1 padampur,jharbandh,jharbandh,baragarh,bargarh,10
1,1 padampur,jharbandh,kandadangar,baragarh,bargarh,11
1,1 padampur,jharbandh,kumir,baragarh,bargarh,12
1,1 padampur,jharbandh,kurlupali,baragarh,bargarh,13
1,1 padampur,jharbandh,laudidhara,baragarh,bargarh,14
1,1 padampur,paikmal,badikata,baragarh,bargarh,15
1,1 padampur,paikmal,bartunda,baragarh,bargarh,16
1,1 padampur,paikmal,bhengarajpur,baragarh,bargarh,17
1,1 padampur,paikmal,bhubaneswarpur,baragarh,bargarh,18
1,1 padampur,paikmal,bukramunda,baragarh,bargarh,19
1,1 padampur,paikmal,chardapali,baragarh,bargarh,20
1,1 padampur,paikmal,chhendeikela,baragarh,bargarh,21
1,1 padampur,paikmal,chhetgaon,baragarh,bargarh,22
1,1 padampur,paikmal,jamseth,baragarh,bargarh,23
1,1 padampur,paikmal,jharband,baragarh,bargarh,24
1,1 padampur,paikmal,jhitiki,baragarh,bargarh,25
1,1 padampur,paikmal,kansada,baragarh,bargarh,26
1,1 padampur,paikmal,kechhodadar,baragarh,bargarh,27
1,1 padampur,paikmal,kermelabahal,baragarh,bargarh,28
1,1 padampur,paikmal,lakhamara,baragarh,bargarh,29
1,1 padampur,paikmal,mandiadhipa,baragarh,bargarh,30
1,1 padampur,paikmal,mandosil,baragarh,bargarh,31
1,1 padampur,paikmal,mithapali,baragarh,bargarh,32
1,1 padampur,paikmal,paikmal,baragarh,bargarh,33
1,1 padampur,paikmal,palsada,baragarh,bargarh,34
1,1 padampur,paikmal,saraikela,baragarh,bargarh,35
1,1 padampur,paikmal,temeri,baragarh,bargarh,36
1,1 padampur,padampur,kansar,baragarh,bargarh,37
1,1 padampur,padampur,kansingha,baragarh,bargarh,38
1,1 padampur,padampur,khaliapali,baragarh,bargarh,39
1,1 padampur,padampur,charpali,baragarh,bargarh,40
1,1 padampur,padampur,jamartala,baragarh,bargarh,41
1,1 padampur,padampur,jamala,baragarh,bargarh,42
1,1 padampur,padampur,gyan,baragarh,bargarh,43
1,1 padampur,padampur,tal,baragarh,bargarh,44
1,1 padampur,padampur,dangaghat,baragarh,bargarh,45
1,1 padampur,padampur,dahigaon,baragarh,bargarh,46
1,1 padampur,padampur,dahita,baragarh,bargarh,47
1,1 padampur,padampur,palsapali,baragarh,bargarh,48
1,1 padampur,padampur,purena,baragarh,bargarh,49
1,1 padampur,padampur,barikel,baragarh,bargarh,50
1,1 padampur,padampur,barihapali,baragarh,bargarh,51
1,1 padampur,padampur,budamal,baragarh,bargarh,52
1,1 padampur,padampur,buden,baragarh,bargarh,53
1,1 padampur,padampur,bheunria,baragarh,bargarh,54
1,1 padampur,padampur,mahulpali,baragarh,bargarh,55
1,1 padampur,padampur,melchhamunda,baragarh,bargarh,56
1,1 padampur,padampur,sargibahal,baragarh,bargarh,57
1,1 padampur,padampur,loharpali,baragarh,bargarh,58
2,2 bijepur,gaisilet,buromunda,baragarh,bargarh,59
2,2 bijepur,gaisilet,chantipali,baragarh,bargarh,60
2,2 bijepur,gaisilet,chikhili,baragarh,bargarh,61
2,2 bijepur,gaisilet,dangbahal,baragarh,bargarh,62
2,2 bijepur,gaisilet,firingimal,baragarh,bargarh,63
2,2 bijepur,gaisilet,gajsilet,baragarh,bargarh,64
2,2 bijepur,gaisilet,ganiapali,baragarh,bargarh,65
2,2 bijepur,gaisilet,gauramunda,baragarh,bargarh,66
2,2 bijepur,gaisilet,guderpali,baragarh,bargarh,67
2,2 bijepur,gaisilet,jagalpat,baragarh,bargarh,68
2,2 bijepur,gaisilet,jamutpali,baragarh,bargarh,69
2,2 bijepur,gaisilet,kandagad,baragarh,bargarh,70
2,2 bijepur,gaisilet,katabahal,baragarh,bargarh,71
2,2 bijepur,gaisilet,kathaumal,baragarh,bargarh,72
2,2 bijepur,gaisilet,kundakhai,baragarh,bargarh,73
2,2 bijepur,gaisilet,raisalpadar,baragarh,bargarh,74
2,2 bijepur,gaisilet,sandhibahal,baragarh,bargarh,75
2,2 bijepur,gaisilet,sardhapali,baragarh,bargarh,76
2,2 bijepur,gaisilet,talpali,baragarh,bargarh,77
2,2 bijepur,bijepur,badabaunsen,baragarh,bargarh,78
2,2 bijepur,bijepur,badbrahmani,baragarh,bargarh,79
2,2 bijepur,bijepur,bairakhapali,baragarh,bargarh,80
2,2 bijepur,bijepur,barmunda,baragarh,bargarh,81
2,2 bijepur,bijepur,beniachal,baragarh,bargarh,82
2,2 bijepur,bijepur,bhatigaon,baragarh,bargarh,83
2,2 bijepur,bijepur,bijepur,baragarh,bargarh,84
2,2 bijepur,bijepur,budapali,baragarh,bargarh,85
2,2 bijepur,bijepur,charpali (new),baragarh,bargarh,86
2,2 bijepur,bijepur,ganthiapali,baragarh,bargarh,87
2,2 bijepur,bijepur,jaring,baragarh,bargarh,88
2,2 bijepur,bijepur,jokhipali,baragarh,bargarh,89
2,2 bijepur,bijepur,kharmunda,baragarh,bargarh,90
2,2 bijepur,bijepur,laumunda,baragarh,bargarh,91
