district_name,district_in_scheme,district_in_map,updated_district_name
angul,1,0,angul
anugul,0,1,angul
balasore,0,1,baleshwar
baleshwar,1,0,baleshwar
baragarh,0,1,bargarh
bargarh,1,0,bargarh
bhadrak,1,1,bhadrak
bolangir,1,1,bolangir
boudh,1,1,boudh
cuttack,1,1,cuttack
deogarh,0,1,deogharh
deogharh,1,0,deogharh
dhenkanal,1,1,dhenkanal
gajapati,0,1,gajpati
gajpati,1,0,gajpati
ganjam,1,1,ganjam
jagatsingapur,0,1,jagatsinghapur
jagatsinghapur,1,0,jagatsinghapur
jajpur,1,1,jajpur
jharsuguda,1,1,jharsuguda
kalahandi,1,1,kalahandi
kandhamal,1,0,kandhamal
kandhamal(phulbani),0,1,kandhamal
kendrapara,1,1,kendrapara
kendujhar,1,0,kendujhar
keonjhar,0,1,kendujhar
khordha,1,0,khordha
khurda,0,1,khordha
koraput,1,1,koraput
malkangiri,1,1,malkangiri
mayurbhanj,1,1,mayurbhanj
nabrangpur,0,1,nabrangpur
nayagarh,1,1,nayagarh
nuapada,1,0,nuapada
nuapara,0,1,nuapada
puri,1,1,puri
rayagada,1,1,rayagada
sambalpur,1,1,sambalpur
sonapur (subarnapur),0,1,sonepur
sonepur,1,0,sonepur
sundargarh,1,1,sundargarh
