g_ac_id,g_ac,g_block,g_gp,g_district,g_pc,Sl..No..of.PCs,Notified.Area.Council..NAC.,Municipality..M.,Municipal.Corporation..MC.,Outgrowth..OG.,g_match_id
1,1 padampur,padampur (nac),padmapur (nac) - ward no.1,baragarh,bargarh,1,padampur (nac),NA,NA,NA,1
1,1 padampur,padampur (nac),padmapur (nac) - ward no.10,baragarh,bargarh,1,padampur (nac),NA,NA,NA,2
1,1 padampur,padampur (nac),padmapur (nac) - ward no.11,baragarh,bargarh,1,padampur (nac),NA,NA,NA,3
1,1 padampur,padampur (nac),padmapur (nac) - ward no.2,baragarh,bargarh,1,padampur (nac),NA,NA,NA,4
1,1 padampur,padampur (nac),padmapur (nac) - ward no.3,baragarh,bargarh,1,padampur (nac),NA,NA,NA,5
1,1 padampur,padampur (nac),padmapur (nac) - ward no.4,baragarh,bargarh,1,padampur (nac),NA,NA,NA,6
1,1 padampur,padampur (nac),padmapur (nac) - ward no.5,baragarh,bargarh,1,padampur (nac),NA,NA,NA,7
1,1 padampur,padampur (nac),padmapur (nac) - ward no.6,baragarh,bargarh,1,padampur (nac),NA,NA,NA,8
1,1 padampur,padampur (nac),padmapur (nac) - ward no.7,baragarh,bargarh,1,padampur (nac),NA,NA,NA,9
1,1 padampur,padampur (nac),padmapur (nac) - ward no.8,baragarh,bargarh,1,padampur (nac),NA,NA,NA,10
1,1 padampur,padampur (nac),padmapur (nac) - ward no.9,baragarh,bargarh,1,padampur (nac),NA,NA,NA,11
2,2 bijepur,barpali (nac),barapali (nac) - ward no.1,baragarh,bargarh,1,barpali (nac),NA,NA,NA,12
2,2 bijepur,barpali (nac),barapali (nac) - ward no.10,baragarh,bargarh,1,barpali (nac),NA,NA,NA,13
2,2 bijepur,barpali (nac),barapali (nac) - ward no.11,baragarh,bargarh,1,barpali (nac),NA,NA,NA,14
2,2 bijepur,barpali (nac),barapali (nac) - ward no.2,baragarh,bargarh,1,barpali (nac),NA,NA,NA,15
2,2 bijepur,barpali (nac),barapali (nac) - ward no.3,baragarh,bargarh,1,barpali (nac),NA,NA,NA,16
2,2 bijepur,barpali (nac),barapali (nac) - ward no.4,baragarh,bargarh,1,barpali (nac),NA,NA,NA,17
2,2 bijepur,barpali (nac),barapali (nac) - ward no.5,baragarh,bargarh,1,barpali (nac),NA,NA,NA,18
2,2 bijepur,barpali (nac),barapali (nac) - ward no.6,baragarh,bargarh,1,barpali (nac),NA,NA,NA,19
2,2 bijepur,barpali (nac),barapali (nac) - ward no.7,baragarh,bargarh,1,barpali (nac),NA,NA,NA,20
2,2 bijepur,barpali (nac),barapali (nac) - ward no.8,baragarh,bargarh,1,barpali (nac),NA,NA,NA,21
2,2 bijepur,barpali (nac),barapali (nac) - ward no.9,baragarh,bargarh,1,barpali (nac),NA,NA,NA,22
3,3 bargarh,bargarh (m),bargarh (m) - ward no.1,baragarh,bargarh,1,NA,bargarh (m),NA,NA,23
3,3 bargarh,bargarh (m),bargarh (m) - ward no.10,baragarh,bargarh,1,NA,bargarh (m),NA,NA,24
3,3 bargarh,bargarh (m),bargarh (m) - ward no.11,baragarh,bargarh,1,NA,bargarh (m),NA,NA,25
3,3 bargarh,bargarh (m),bargarh (m) - ward no.12,baragarh,bargarh,1,NA,bargarh (m),NA,NA,26
