constituency,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due
aska,PC,MNREGA,2018-19,0,6092.1,4389.11,1695.31,1.6199999999999999,0,6086.06,6.030000000000001,42.01
balasore,PC,MNREGA,2018-19,-43.75,1968.91,1683.9,506.23,10.16,0,2200.25,-231.4,8.7
bargarh,PC,MNREGA,2018-19,79.03,4187.41,4103.59,1290.28,27.169999999999998,0,5421.01,-1233.47,25.98
berhampur,PC,MNREGA,2018-19,3.85,5898.31,4093.05,1933.05,0.5,0,6026.67,-128.43,61.21
bhadrak (sc),PC,MNREGA,2018-19,9.56,2145.54,1994.01,289.33,0.61,0,2283.93,-138.51,32
bhubaneswar,PC,MNREGA,2018-19,-12.3,772.64,652.54,310.3,1.97,0,964.82,-192.11,5.62
bolangir,PC,MNREGA,2018-19,-66.24000000000001,8163.3,6775.38,1483.46,6.99,0,8265.79,-102.58,75.12
cuttack,PC,MNREGA,2018-19,24.57,2449.3,2489.83,965.24,1.35,0,3456.4500000000003,-1007.08,39.16
dhenkanal,PC,MNREGA,2018-19,49.93,4458.89,3556.95,1525.51,15.1,0.01,5097.66,-638.72,50.3
jagatsinghpur (sc),PC,MNREGA,2018-19,48.73,1644.81,1706.96,635.39,8.81,0,2351.12,-706.28,39.15
jajpur (sc),PC,MNREGA,2018-19,-0.03,3844.91,3127.9,1623.1299999999999,3.2399999999999998,0,4754.18,-909.41,29.26
kalahandi,PC,MNREGA,2018-19,-63.58,5852.94,4125.98,1797.82,31.53,0,5955.14,-102.32000000000001,71.56
kandhamal,PC,MNREGA,2018-19,4.470000000000001,8447.3,7078.64,1622.88,8.42,0.49,8710.39,-262.94,84.11
kendrapara,PC,MNREGA,2018-19,0,1260.87,2816.96,992.42,5.82,0,3815.28,-2554.54,28.15
keonjhar (st),PC,MNREGA,2018-19,-262.57,12271.65,8965.52,3900.2400000000002,89.98,0,12955.85,-684.15,51.1
koraput (st),PC,MNREGA,2018-19,-760.1899999999999,14978.17,9825.2,6117.88,199.1,0,16194.05,-1215.86,211.26
mayurbhanj (st),PC,MNREGA,2018-19,0,15779.24,8688.78,7243.1,62.58,0,15994.62,-215.39000000000001,121.51
nabarangpur (st),PC,MNREGA,2018-19,14.979999999999999,8121.87,5726.94,2459.68,52.68,0,8239.28,-117.31,67.88
puri,PC,MNREGA,2018-19,19.520000000000003,2916.42,2632.81,533.86,14.700000000000001,0,3181.32,-265.01,29
sambalpur,PC,MNREGA,2018-19,45.47,6763.25,5105.68,1789.41,19.12,0,6914.2,-150.8,46.34
sundargarh (st),PC,MNREGA,2018-19,0,10555.69,8466.62,2852.03,19.01,0,11337.66,-782.03,94.12
