g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
1,756,baragarh,yes,jharbandh,yes,amthi,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,1,amthi,15.5,27.5,0,55.7,98.7,baragarh,jharbandh,amthi
2,757,baragarh,yes,jharbandh,yes,bhainsadarha,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,2,bhainsadarha,12.7,35.2,0,32.9,80.8,baragarh,jharbandh,bhainsadarha
3,758,baragarh,yes,jharbandh,yes,bhandarpuri,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,3,bhandarpuri,6.1,26.8,0,13.5,46.4,baragarh,jharbandh,bhandarpuri
4,759,baragarh,yes,jharbandh,yes,bilaspur,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,4,bilaspur,15,131.1,0,35.4,181.5,baragarh,jharbandh,bilaspur
5,760,baragarh,yes,jharbandh,yes,chandivata,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,5,chandivata,44.9,50.5,0,35.3,130.7,baragarh,jharbandh,chandivata
6,761,baragarh,yes,jharbandh,yes,chotanki,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,6,chotanki,14.6,29.5,0,30.5,74.6,baragarh,jharbandh,chotanki
7,762,baragarh,yes,jharbandh,yes,dava,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,7,dava,20.9,46.4,0,30.6,97.9,baragarh,jharbandh,dava
8,763,baragarh,yes,jharbandh,yes,gothuguda,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,8,gothuguda,37.1,75.6,0,34.6,147.3,baragarh,jharbandh,gothuguda
9,764,baragarh,yes,jharbandh,yes,jagdalpur,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,9,jagdalpur,48.1,49,0,52.9,150,baragarh,jharbandh,jagdalpur
10,765,baragarh,yes,jharbandh,yes,jharbandh,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,10,jharbandh,36.3,46.8,0,67.3,150.4,baragarh,jharbandh,jharbandh
11,766,baragarh,yes,jharbandh,yes,kandadangar,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,11,kandadangar,18.9,78.4,0,40.1,137.4,baragarh,jharbandh,kandadangar
12,767,baragarh,yes,jharbandh,yes,kumir,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,12,kumir,19.1,34.6,0,49.5,103.2,baragarh,jharbandh,kumir
13,768,baragarh,yes,jharbandh,yes,kurlupali,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,13,kurlupali,16.8,26.9,0,35.1,78.8,baragarh,jharbandh,kurlupali
14,769,baragarh,yes,jharbandh,yes,laudidhara,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,14,laudidhara,42.4,38.8,0,47.1,128.3,baragarh,jharbandh,laudidhara
15,792,baragarh,yes,paikmal,yes,badikata,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,1,badikata,28.5,23.6,0,26.3,78.4,baragarh,paikmal,badikata
16,793,baragarh,yes,paikmal,yes,bartunda,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,2,bartunda,19.9,45.2,7.4,20.7,93.2,baragarh,paikmal,bartunda
17,794,baragarh,yes,paikmal,yes,bhengarajpur,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,3,bhengarajpur,27.7,37.2,0,24.1,89,baragarh,paikmal,bhengarajpur
