geo_entity_title,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,level,scheme,year,SC,ST,Minority,Others,Total
1 padampur,27.05,930.76,833.41,246.31,7.9799999999999995,0,1087.68,-156.85999999999999,7.11,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
10 biramitrapur (st),0,1970.63,1634.6,437.69,2.52,0,2074.78,-104.17,30.35,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
100 mahakalapada,0,318.22,413.12,135.51,1.45,0,550.1,-231.87,4.15,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
101 paradeep,14.229999999999999,22.099999999999998,102.59,53.46,2.99,0,159.07,-136.94,1.2,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
102 tirtol (sc),20.150000000000002,277.22,346.64,54.14,1.44,0,402.17,-124.94,10.57,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
103 balikuda- erasama,23.74,316.36,162.93,198.8,3.82,0,365.56,-49.260000000000005,7.39,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
104 jagatsinghpur,-9.319999999999999,177.96,219.21,149.2,0,0,368.39,-190.4,3.32,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
105 kakatpur (sc),-0.02,525.25,506.5,80.91,0,0,587.45,-62.18,7.23,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
106 nimapara,-0.05,176.13,213.62,40.73,0.03,0,254.39000000000001,-78.25,7.28,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
107 puri,-0.01,190.59,180.14,20.35,0,0,200.51,-9.92,4.48,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
108 brahmagiri,-0.17,680.4,601.65,113.14,1.09,0,715.85,-35.44,8.43,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
109 satyabadi,0,378.33,370.48,97.78,7.6000000000000005,0,475.9,-97.62,3.93,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
11 raghunathpali (sc),0,185.78,127.66,78.88,0.37,0,206.91,-21.14,1.09,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
110 pipili,-0.35000000000000003,155.46,207.25,84.26,4.2700000000000005,0,295.77,-140.27,2.34,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
111 jayadev (sc),-11.04,117.1,112.43,113.19,0.93,0,226.59,-109.49,1.75,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
113 bhubaneswar north,1.22,9.43,8.73,13.37,0.12,0,22.23,-12.790000000000001,0.22,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
114 ekamra- bhubaneswar,1.6400000000000001,5.25,8.33,11.43,0.13,0,19.89,-14.63,0.19,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
115 jatani,-19.62,59.19,56.85,49.7,0.3,0,106.82,-47.62,0.35000000000000003,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
