constituency,constituency_code,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,SC,ST,Minority,Others,Total
padampur,1,AC,MNREGA,2018-19,27.05,930.76,833.41,246.31,7.9799999999999995,0,1087.68,-156.85999999999999,7.11,NA,NA,NA,NA,NA
biramitrapur (st),10,AC,MNREGA,2018-19,0,1970.63,1634.6,437.69,2.52,0,2074.78,-104.17,30.35,NA,NA,NA,NA,NA
mahakalapada,100,AC,MNREGA,2018-19,0,318.22,413.12,135.51,1.45,0,550.1,-231.87,4.15,NA,NA,NA,NA,NA
paradeep,101,AC,MNREGA,2018-19,14.229999999999999,22.099999999999998,102.59,53.46,2.99,0,159.07,-136.94,1.2,NA,NA,NA,NA,NA
tirtol (sc),102,AC,MNREGA,2018-19,20.150000000000002,277.22,346.64,54.14,1.44,0,402.17,-124.94,10.57,NA,NA,NA,NA,NA
balikuda- erasama,103,AC,MNREGA,2018-19,23.74,316.36,162.93,198.8,3.82,0,365.56,-49.260000000000005,7.39,NA,NA,NA,NA,NA
jagatsinghpur,104,AC,MNREGA,2018-19,-9.319999999999999,177.96,219.21,149.2,0,0,368.39,-190.4,3.32,NA,NA,NA,NA,NA
kakatpur (sc),105,AC,MNREGA,2018-19,-0.02,525.25,506.5,80.91,0,0,587.45,-62.18,7.23,NA,NA,NA,NA,NA
nimapara,106,AC,MNREGA,2018-19,-0.05,176.13,213.62,40.73,0.03,0,254.39000000000001,-78.25,7.28,NA,NA,NA,NA,NA
puri,107,AC,MNREGA,2018-19,-0.01,190.59,180.14,20.35,0,0,200.51,-9.92,4.48,NA,NA,NA,NA,NA
brahmagiri,108,AC,MNREGA,2018-19,-0.17,680.4,601.65,113.14,1.09,0,715.85,-35.44,8.43,NA,NA,NA,NA,NA
satyabadi,109,AC,MNREGA,2018-19,0,378.33,370.48,97.78,7.6000000000000005,0,475.9,-97.62,3.93,NA,NA,NA,NA,NA
raghunathpali (sc),11,AC,MNREGA,2018-19,0,185.78,127.66,78.88,0.37,0,206.91,-21.14,1.09,NA,NA,NA,NA,NA
pipili,110,AC,MNREGA,2018-19,-0.35000000000000003,155.46,207.25,84.26,4.2700000000000005,0,295.77,-140.27,2.34,NA,NA,NA,NA,NA
jayadev (sc),111,AC,MNREGA,2018-19,-11.04,117.1,112.43,113.19,0.93,0,226.59,-109.49,1.75,NA,NA,NA,NA,NA
bhubaneswar north,113,AC,MNREGA,2018-19,1.22,9.43,8.73,13.37,0.12,0,22.23,-12.790000000000001,0.22,NA,NA,NA,NA,NA
ekamra- bhubaneswar,114,AC,MNREGA,2018-19,1.6400000000000001,5.25,8.33,11.43,0.13,0,19.89,-14.63,0.19,NA,NA,NA,NA,NA
jatani,115,AC,MNREGA,2018-19,-19.62,59.19,56.85,49.7,0.3,0,106.82,-47.62,0.35000000000000003,NA,NA,NA,NA,NA
