g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,updated_district_name,updated_block_name,updated_gp_name
1,4725,baragarh,yes,jharbandh,yes,amthi,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,1,amthi,0,17.8,13.79,3.57,0.42,0,17.78,0.02,0.02,baragarh,jharbandh,amthi
2,4726,baragarh,yes,jharbandh,yes,bhainsadarha,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,2,bhainsadarha,0,8.25,8.65,0.84,0.06,0,9.56,-1.31,0.13,baragarh,jharbandh,bhainsadarha
3,4727,baragarh,yes,jharbandh,yes,bhandarpuri,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,3,bhandarpuri,0.55,10.61,11.41,5.5,0.38,0,17.29,-6.68,0.01,baragarh,jharbandh,bhandarpuri
4,4728,baragarh,yes,jharbandh,yes,bilaspur,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,4,bilaspur,0.12,6.53,8.49,2.1,0,0,10.58,-4.05,0.27,baragarh,jharbandh,bilaspur
5,4729,baragarh,yes,jharbandh,yes,chandivata,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,5,chandivata,0.08,34.89,23.12,11.68,0,0,34.8,0.09,0.19,baragarh,jharbandh,chandivata
6,4730,baragarh,yes,jharbandh,yes,chotanki,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,6,chotanki,0.26,16.24,15.74,3.81,0.02,0,19.57,-3.33,0.05,baragarh,jharbandh,chotanki
7,4731,baragarh,yes,jharbandh,yes,dava,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,7,dava,1.02,14.69,16.78,8.7,0.34,0,25.81,-11.12,0,baragarh,jharbandh,dava
8,4732,baragarh,yes,jharbandh,yes,gothuguda,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,8,gothuguda,0.65,17.16,18.35,3.71,0.29,0,22.35,-5.19,0.31,baragarh,jharbandh,gothuguda
9,4733,baragarh,yes,jharbandh,yes,jagdalpur,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,9,jagdalpur,0.18,10.71,12.2,4.99,0.46,0,17.66,-6.94,0.15,baragarh,jharbandh,jagdalpur
10,4734,baragarh,yes,jharbandh,yes,jharbandh,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,10,jharbandh,0,20.38,19.82,0.53,0,0,20.35,0.03,0.74,baragarh,jharbandh,jharbandh
