g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,updated_district_name,updated_block_name,updated_gp_name
1,4725,baragarh,yes,jharbandh,yes,amthi,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,1,amthi,0,37.81,39.6,3.5,0.34,0,43.44,-5.63,1.15,baragarh,jharbandh,amthi
2,4726,baragarh,yes,jharbandh,yes,bhainsadarha,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,2,bhainsadarha,0,40.57,44.56,17.42,2.19,0,64.16,-23.6,1.41,baragarh,jharbandh,bhainsadarha
3,4727,baragarh,yes,jharbandh,yes,bhandarpuri,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,3,bhandarpuri,0.55,31.52,34.54,5.33,0.58,0,40.45,-8.93,0.16,baragarh,jharbandh,bhandarpuri
4,4728,baragarh,yes,jharbandh,yes,bilaspur,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,4,bilaspur,0.12,56.97,58.64,16.19,2.04,0,76.86,-19.9,2.04,baragarh,jharbandh,bilaspur
5,4729,baragarh,yes,jharbandh,yes,chandivata,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,5,chandivata,0.08,66.27,63.17,2.69,0.42,0,66.29,-0.02,0,baragarh,jharbandh,chandivata
6,4730,baragarh,yes,jharbandh,yes,chotanki,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,6,chotanki,0.26,45.06,45.68,4,0.4,0,50.08,-5.02,0.36,baragarh,jharbandh,chotanki
7,4731,baragarh,yes,jharbandh,yes,dava,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,7,dava,1.02,40.51,41.25,8.43,1.16,0,50.85,-10.34,0.14,baragarh,jharbandh,dava
8,4732,baragarh,yes,jharbandh,yes,gothuguda,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,8,gothuguda,0.63,57.1,57.85,11.76,1.38,0,70.99,-13.89,0.61,baragarh,jharbandh,gothuguda
9,4733,baragarh,yes,jharbandh,yes,jagdalpur,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,9,jagdalpur,0.18,68.3,69.46,2.28,0.3,0,72.04,-3.74,0,baragarh,jharbandh,jagdalpur
10,4734,baragarh,yes,jharbandh,yes,jharbandh,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,10,jharbandh,0,47.07,47.7,21.82,2.63,0,72.14,-25.07,0.4,baragarh,jharbandh,jharbandh
11,4735,baragarh,yes,jharbandh,yes,kandadangar,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,11,kandadangar,0,64.83,65.3,26.21,3.63,0,95.14,-30.31,1.7,baragarh,jharbandh,kandadangar
12,4736,baragarh,yes,jharbandh,yes,kumir,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,12,kumir,1.77,39.29,37.94,4.66,0.46,0,43.07,-3.78,0.33,baragarh,jharbandh,kumir
13,4737,baragarh,yes,jharbandh,yes,kurlupali,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,13,kurlupali,1.03,23.86,23.76,16.89,2.27,0,42.92,-19.06,0.31,baragarh,jharbandh,kurlupali
14,4738,baragarh,yes,jharbandh,yes,laudidhara,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,14,laudidhara,0.95,17.95,22.39,3.83,0.39,0,26.61,-8.65,1.08,baragarh,jharbandh,laudidhara
15,4761,baragarh,yes,paikmal,yes,badikata,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,1,badikata,0,26.43,27.7,4.72,0.39,0,32.81,-6.38,0.05,baragarh,paikmal,badikata
16,4762,baragarh,yes,paikmal,yes,bartunda,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,2,bartunda,0.55,68.11,39.82,36.07,4.21,0,80.1,-11.98,0.23,baragarh,paikmal,bartunda
17,4763,baragarh,yes,paikmal,yes,bhengarajpur,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,3,bhengarajpur,0,51.81,39.85,29.84,1.63,0,71.32,-19.51,0.2,baragarh,paikmal,bhengarajpur
18,4764,baragarh,yes,paikmal,yes,bhubaneswarpur,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,4,bhubaneswarpur,0.09,46.81,42.16,4.4,0.52,0,47.09,-0.28,0.48,baragarh,paikmal,bhubaneswarpur
19,4765,baragarh,yes,paikmal,yes,bukramunda,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,5,bukramunda,0.06,34.51,22.8,14.39,0.18,0,37.37,-2.85,0.4,baragarh,paikmal,bukramunda
