g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
1,756,baragarh,yes,jharbandh,yes,amthi,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,1,amthi,28.4,7.3,0,41,76.7,baragarh,jharbandh,amthi
2,757,baragarh,yes,jharbandh,yes,bhainsadarha,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,2,bhainsadarha,26,66.2,0,41.6,133.8,baragarh,jharbandh,bhainsadarha
3,758,baragarh,yes,jharbandh,yes,bhandarpuri,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,3,bhandarpuri,5.9,106.3,0,36.5,148.7,baragarh,jharbandh,bhandarpuri
4,759,baragarh,yes,jharbandh,yes,bilaspur,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,4,bilaspur,10.7,254.2,0,40.9,305.8,baragarh,jharbandh,bilaspur
5,760,baragarh,yes,jharbandh,yes,chandivata,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,5,chandivata,100.3,56.1,0,40,196.4,baragarh,jharbandh,chandivata
6,761,baragarh,yes,jharbandh,yes,chotanki,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,6,chotanki,30.9,57.1,0,34.7,122.7,baragarh,jharbandh,chotanki
7,762,baragarh,yes,jharbandh,yes,dava,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,7,dava,28.7,98.1,0,29.1,155.9,baragarh,jharbandh,dava
8,763,baragarh,yes,jharbandh,yes,gothuguda,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,8,gothuguda,53.6,198.5,0,37.7,289.8,baragarh,jharbandh,gothuguda
9,764,baragarh,yes,jharbandh,yes,jagdalpur,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,9,jagdalpur,79.1,109.2,0,71.1,259.4,baragarh,jharbandh,jagdalpur
10,765,baragarh,yes,jharbandh,yes,jharbandh,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,10,jharbandh,42.4,92.4,0,69.7,204.5,baragarh,jharbandh,jharbandh
11,766,baragarh,yes,jharbandh,yes,kandadangar,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,11,kandadangar,28,147.1,0,41.1,216.2,baragarh,jharbandh,kandadangar
12,767,baragarh,yes,jharbandh,yes,kumir,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,12,kumir,16,42.6,0,60.6,119.2,baragarh,jharbandh,kumir
13,768,baragarh,yes,jharbandh,yes,kurlupali,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,13,kurlupali,23.4,59.5,0,31.8,114.7,baragarh,jharbandh,kurlupali
14,769,baragarh,yes,jharbandh,yes,laudidhara,yes,1,1 padampur,bargarh,odisha,baragarh,jharbandh,14,laudidhara,99.2,95.9,0,73.6,268.7,baragarh,jharbandh,laudidhara
15,792,baragarh,yes,paikmal,yes,badikata,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,1,badikata,50.9,83,0,26,159.9,baragarh,paikmal,badikata
