g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
1,4725,baragarh,yes,jharbandh,yes,amthi,yes,1,1 padampur,bargarh
2,4726,baragarh,yes,jharbandh,yes,bhainsadarha,yes,1,1 padampur,bargarh
3,4727,baragarh,yes,jharbandh,yes,bhandarpuri,yes,1,1 padampur,bargarh
4,4728,baragarh,yes,jharbandh,yes,bilaspur,yes,1,1 padampur,bargarh
5,4729,baragarh,yes,jharbandh,yes,chandivata,yes,1,1 padampur,bargarh
6,4730,baragarh,yes,jharbandh,yes,chotanki,yes,1,1 padampur,bargarh
7,4731,baragarh,yes,jharbandh,yes,dava,yes,1,1 padampur,bargarh
8,4732,baragarh,yes,jharbandh,yes,gothuguda,yes,1,1 padampur,bargarh
9,4733,baragarh,yes,jharbandh,yes,jagdalpur,yes,1,1 padampur,bargarh
10,4734,baragarh,yes,jharbandh,yes,jharbandh,yes,1,1 padampur,bargarh
11,4735,baragarh,yes,jharbandh,yes,kandadangar,yes,1,1 padampur,bargarh
12,4736,baragarh,yes,jharbandh,yes,kumir,yes,1,1 padampur,bargarh
13,4737,baragarh,yes,jharbandh,yes,kurlupali,yes,1,1 padampur,bargarh
14,4738,baragarh,yes,jharbandh,yes,laudidhara,yes,1,1 padampur,bargarh
15,4761,baragarh,yes,paikmal,yes,badikata,yes,1,1 padampur,bargarh
16,4762,baragarh,yes,paikmal,yes,bartunda,yes,1,1 padampur,bargarh
17,4763,baragarh,yes,paikmal,yes,bhengarajpur,yes,1,1 padampur,bargarh
18,4764,baragarh,yes,paikmal,yes,bhubaneswarpur,yes,1,1 padampur,bargarh
19,4765,baragarh,yes,paikmal,yes,bukramunda,yes,1,1 padampur,bargarh
20,4766,baragarh,yes,paikmal,yes,chardapali,yes,1,1 padampur,bargarh
21,4767,baragarh,yes,paikmal,yes,chhendeikela,yes,1,1 padampur,bargarh
22,4768,baragarh,yes,paikmal,yes,chhetgaon,yes,1,1 padampur,bargarh
23,4769,baragarh,yes,paikmal,yes,jamseth,yes,1,1 padampur,bargarh
