g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
1,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.1,no,1,1 padampur,bargarh
2,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.10,no,1,1 padampur,bargarh
3,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.11,no,1,1 padampur,bargarh
4,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.2,no,1,1 padampur,bargarh
5,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.3,no,1,1 padampur,bargarh
6,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.4,no,1,1 padampur,bargarh
7,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.5,no,1,1 padampur,bargarh
8,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.6,no,1,1 padampur,bargarh
9,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.7,no,1,1 padampur,bargarh
10,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.8,no,1,1 padampur,bargarh
11,,baragarh,yes,padampur (nac),no,padmapur (nac) - ward no.9,no,1,1 padampur,bargarh
12,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.1,no,2,2 bijepur,bargarh
13,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.10,no,2,2 bijepur,bargarh
14,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.11,no,2,2 bijepur,bargarh
15,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.2,no,2,2 bijepur,bargarh
16,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.3,no,2,2 bijepur,bargarh
17,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.4,no,2,2 bijepur,bargarh
18,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.5,no,2,2 bijepur,bargarh
19,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.6,no,2,2 bijepur,bargarh
20,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.7,no,2,2 bijepur,bargarh
21,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.8,no,2,2 bijepur,bargarh
22,,baragarh,yes,barpali (nac),no,barapali (nac) - ward no.9,no,2,2 bijepur,bargarh
23,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.1,no,3,3 bargarh,bargarh
24,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.10,no,3,3 bargarh,bargarh
25,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.11,no,3,3 bargarh,bargarh
26,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.12,no,3,3 bargarh,bargarh
27,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.13,no,3,3 bargarh,bargarh
28,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.14,no,3,3 bargarh,bargarh
29,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.15,no,3,3 bargarh,bargarh
30,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.16,no,3,3 bargarh,bargarh
31,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.17,no,3,3 bargarh,bargarh
32,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no. 18,no,3,3 bargarh,bargarh
33,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no. 19,no,3,3 bargarh,bargarh
34,,baragarh,yes,bargarh (m),no,bargarh (m) - ward no.2,no,3,3 bargarh,bargarh
