g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
1,756,baragarh,yes,jharbandh,yes,amthi,yes,1,1 padampur,bargarh
2,757,baragarh,yes,jharbandh,yes,bhainsadarha,yes,1,1 padampur,bargarh
3,758,baragarh,yes,jharbandh,yes,bhandarpuri,yes,1,1 padampur,bargarh
4,759,baragarh,yes,jharbandh,yes,bilaspur,yes,1,1 padampur,bargarh
5,760,baragarh,yes,jharbandh,yes,chandivata,yes,1,1 padampur,bargarh
6,761,baragarh,yes,jharbandh,yes,chotanki,yes,1,1 padampur,bargarh
7,762,baragarh,yes,jharbandh,yes,dava,yes,1,1 padampur,bargarh
8,763,baragarh,yes,jharbandh,yes,gothuguda,yes,1,1 padampur,bargarh
9,764,baragarh,yes,jharbandh,yes,jagdalpur,yes,1,1 padampur,bargarh
10,765,baragarh,yes,jharbandh,yes,jharbandh,yes,1,1 padampur,bargarh
11,766,baragarh,yes,jharbandh,yes,kandadangar,yes,1,1 padampur,bargarh
12,767,baragarh,yes,jharbandh,yes,kumir,yes,1,1 padampur,bargarh
13,768,baragarh,yes,jharbandh,yes,kurlupali,yes,1,1 padampur,bargarh
14,769,baragarh,yes,jharbandh,yes,laudidhara,yes,1,1 padampur,bargarh
15,792,baragarh,yes,paikmal,yes,badikata,yes,1,1 padampur,bargarh
16,793,baragarh,yes,paikmal,yes,bartunda,yes,1,1 padampur,bargarh
17,794,baragarh,yes,paikmal,yes,bhengarajpur,yes,1,1 padampur,bargarh
18,795,baragarh,yes,paikmal,yes,bhubaneswarpur,yes,1,1 padampur,bargarh
19,796,baragarh,yes,paikmal,yes,bukramunda,yes,1,1 padampur,bargarh
20,797,baragarh,yes,paikmal,yes,chardapali,yes,1,1 padampur,bargarh
21,798,baragarh,yes,paikmal,yes,chhendeikela,yes,1,1 padampur,bargarh
22,799,baragarh,yes,paikmal,yes,chhetgaon,yes,1,1 padampur,bargarh
23,800,baragarh,yes,paikmal,yes,jamseth,yes,1,1 padampur,bargarh
24,801,baragarh,yes,paikmal,yes,jharband,yes,1,1 padampur,bargarh
25,802,baragarh,yes,paikmal,yes,jhitiki,yes,1,1 padampur,bargarh
26,803,baragarh,yes,paikmal,yes,kansada,yes,1,1 padampur,bargarh
27,804,baragarh,yes,paikmal,yes,kechhodadar,yes,1,1 padampur,bargarh
28,805,baragarh,yes,paikmal,yes,kermelabahal,yes,1,1 padampur,bargarh
29,806,baragarh,yes,paikmal,yes,lakhamara,yes,1,1 padampur,bargarh
30,807,baragarh,yes,paikmal,yes,mandiadhipa,yes,1,1 padampur,bargarh
31,808,baragarh,yes,paikmal,yes,mandosil,yes,1,1 padampur,bargarh
32,809,baragarh,yes,paikmal,yes,mithapali,yes,1,1 padampur,bargarh
33,810,baragarh,yes,paikmal,yes,paikmal,yes,1,1 padampur,bargarh
34,811,baragarh,yes,paikmal,yes,palsada,yes,1,1 padampur,bargarh
35,812,baragarh,yes,paikmal,yes,saraikela,yes,1,1 padampur,bargarh
36,813,baragarh,yes,paikmal,yes,temeri,yes,1,1 padampur,bargarh
37,782,baragarh,yes,padampur,yes,kansar,yes,1,1 padampur,bargarh
38,783,baragarh,yes,padampur,yes,kansingha,yes,1,1 padampur,bargarh
