district,district_mapped,block,block_mapped,total_gps,total_gps_mapped,gp_mapping_percent
bolangir,yes,agalpur,yes,20,18,90
bolangir,yes,balangir,yes,25,25,100
bolangir,yes,bangomunda,yes,26,26,100
bolangir,yes,belpara,yes,24,24,100
bolangir,yes,deogaon,yes,26,26,100
bolangir,yes,gudvella,no,13,0,0
bolangir,yes,khaprakhol,yes,21,21,100
bolangir,yes,loisinga,yes,20,20,100
bolangir,yes,muribahal,yes,22,22,100
bolangir,yes,patnagarh,yes,30,30,100
bolangir,yes,puintala,yes,25,25,100
bolangir,yes,saintala,yes,22,22,100
bolangir,yes,titlagarh,yes,24,24,100
bolangir,yes,turekela,yes,19,19,100
boudh,yes,boudh,yes,23,22,96
boudh,yes,harabhanga,yes,22,22,100
boudh,yes,kantamal,yes,24,24,100
deogharh,yes,barkote,yes,24,24,100
deogharh,yes,reamal,yes,26,26,100
deogharh,yes,tileibani,yes,20,20,100
dhenkanal,yes,bhuban,yes,18,18,100
dhenkanal,yes,dhenkanal sadar,no,30,0,0
dhenkanal,yes,gondia,yes,29,29,100
dhenkanal,yes,hindol,yes,35,35,100
dhenkanal,yes,kamakhyanagar,yes,22,21,95
dhenkanal,yes,kankada had,no,21,0,0
dhenkanal,yes,odapada,yes,28,28,100
dhenkanal,yes,parajang,no,29,0,0
gajpati,yes,gosani,no,21,0,0
gajpati,yes,gumma,yes,20,20,100
gajpati,yes,kasinagar,yes,12,12,100
gajpati,yes,mohona,yes,39,39,100
gajpati,yes,nuagada,yes,19,19,100
gajpati,yes,r.udayagiri,yes,17,15,88
gajpati,yes,rayagada,yes,21,21,100
ganjam,yes,aska,yes,27,27,100
ganjam,yes,beguniapada,yes,23,23,100
ganjam,yes,bellaguntha,yes,18,18,100
ganjam,yes,bhanjanagar,yes,22,22,100
ganjam,yes,buguda,yes,21,19,90
ganjam,yes,chatrapur,yes,18,18,100
ganjam,yes,chikiti,yes,17,17,100
ganjam,yes,dharakote,yes,18,18,100
ganjam,yes,digapahandi,yes,25,25,100
ganjam,yes,ganjam,yes,15,15,100
ganjam,yes,hinjilicut,yes,21,21,100
ganjam,yes,jagannathprasad,yes,25,25,100
ganjam,yes,kabisuryanagar,yes,21,21,100
ganjam,yes,khallikote,yes,29,29,100
ganjam,yes,kukudakhandi,yes,22,21,95
ganjam,yes,patrapur,yes,23,23,100
ganjam,yes,polosara,yes,26,26,100
ganjam,yes,purushottampur,yes,26,22,85
ganjam,yes,rangeilunda,yes,32,32,100
ganjam,yes,sanakhemundi,yes,26,26,100
ganjam,yes,sheragada,yes,22,22,100
ganjam,yes,surada,yes,26,26,100
jharsuguda,yes,jharsuguda,yes,17,17,100
jharsuguda,yes,kirmira,yes,8,8,100
jharsuguda,yes,kolabira,yes,9,9,100
jharsuguda,yes,laikera,yes,11,11,100
jharsuguda,yes,lakhanpur,yes,33,33,100
kalahandi,yes,bhawanipatna,yes,36,35,97
kalahandi,yes,dharamagarh,no,24,0,0
kalahandi,yes,golamunda,yes,28,28,100
kalahandi,yes,jayapatna,no,22,0,0
kalahandi,yes,junagarh,yes,34,32,94
kalahandi,yes,kalampur,yes,11,11,100
kalahandi,yes,karlamunda,yes,12,12,100
kalahandi,yes,kesinga,yes,26,26,100
kalahandi,yes,kokasara,yes,22,22,100
kalahandi,yes,lanjigarh,yes,26,26,100
kalahandi,yes,madanpur rampur,yes,19,19,100
kalahandi,yes,narala,yes,26,26,100
kalahandi,yes,thuamul ram pur,yes,24,24,100
kandhamal,yes,baliguda,yes,14,14,100
kandhamal,yes,chakapad,yes,12,12,100
kandhamal,yes,daringibadi,yes,25,23,92
kandhamal,yes,g.udayagiri,no,8,0,0
kandhamal,yes,k.nuagan,yes,14,14,100
kandhamal,yes,khajuripada,yes,14,14,100
kandhamal,yes,kotagarh,yes,15,15,100
kandhamal,yes,phiringia,yes,24,24,100
kandhamal,yes,phulbani,yes,11,11,100
kandhamal,yes,raikia,yes,12,12,100
kandhamal,yes,tikabali,yes,11,11,100
kandhamal,yes,tumudibandh,yes,11,11,100
kendujhar,yes,anandapur,yes,18,18,100
kendujhar,yes,bansapal,yes,21,20,95
kendujhar,yes,champua,yes,22,21,95
kendujhar,yes,ghasipura,yes,25,24,96
kendujhar,yes,ghatgaon,yes,27,26,96
kendujhar,yes,harichadanpur,no,25,0,0
kendujhar,yes,hatadihi,yes,31,26,84
kendujhar,yes,jhumpura,yes,22,21,95
kendujhar,yes,joda,yes,19,18,95
kendujhar,yes,kendujhar sadar,no,25,0,0
kendujhar,yes,patana,yes,20,19,95
kendujhar,yes,saharapada,yes,20,19,95
kendujhar,yes,telkoi,yes,21,19,90
koraput,yes,telkoi,yes,1,0,0
koraput,yes,bandhugaon,yes,13,12,92
koraput,yes,boipariguda,yes,20,19,95
koraput,yes,borigumma,yes,31,28,90
koraput,yes,dasamantapur,no,16,0,0
koraput,yes,jeypore,yes,22,21,95
koraput,yes,koraput,yes,14,13,93
koraput,yes,kotpad,yes,17,16,94
koraput,yes,kundura,yes,16,15,94
koraput,yes,lamtaput,yes,15,14,93
koraput,yes,laxmipur,yes,13,12,92
koraput,yes,nandapur,yes,23,22,96
koraput,yes,narayan patana,yes,9,8,89
koraput,yes,pottangi,yes,14,13,93
koraput,yes,semiliguda,yes,16,16,100
malkangiri,yes,semiliguda,yes,1,0,0
malkangiri,yes,kudumulugumma,yes,18,15,83
malkangiri,yes,kalimela,yes,23,18,78
malkangiri,yes,khairaput,yes,11,9,82
malkangiri,yes,korukonda,yes,12,9,75
malkangiri,yes,malkangiri,yes,19,17,89
malkangiri,yes,mathili,yes,20,19,95
malkangiri,yes,podia,yes,7,5,71
mayurbhanj,yes,podia,yes,1,0,0
mayurbhanj,yes,badasahi,yes,30,29,97
mayurbhanj,yes,bahalda,yes,12,11,92
mayurbhanj,yes,bangriposi,yes,19,18,95
mayurbhanj,yes,baripada,yes,11,10,91
mayurbhanj,yes,betnoti,yes,24,23,96
mayurbhanj,yes,bijatala,yes,12,11,92
mayurbhanj,yes,bisoi,yes,13,12,92
mayurbhanj,yes,gopabandhunagar,yes,13,12,92
mayurbhanj,yes,jamda,yes,10,9,90
mayurbhanj,yes,joshipur,yes,20,19,95
mayurbhanj,yes,kaptipada,yes,26,25,96
mayurbhanj,yes,karanjia,yes,15,14,93
mayurbhanj,yes,khunta,yes,14,13,93
mayurbhanj,yes,kuliana,yes,17,16,94
mayurbhanj,yes,kusumi,yes,14,13,93
mayurbhanj,yes,morada,yes,20,19,95
mayurbhanj,yes,rairangpur,yes,9,8,89
mayurbhanj,yes,raruan,yes,12,10,83
mayurbhanj,yes,rasgovindpur,no,16,0,0
mayurbhanj,yes,samakhunta,yes,14,12,86
mayurbhanj,yes,saraskana,yes,17,14,82
mayurbhanj,yes,sukruli,yes,10,6,60
mayurbhanj,yes,suliapada,yes,16,12,75
mayurbhanj,yes,thakurmunda,yes,18,14,78
mayurbhanj,yes,tiring,yes,10,6,60
mayurbhanj,yes,udala,yes,8,8,100
nuapada,yes,udala,yes,4,0,0
nuapada,yes,chandahandi,no,14,0,0
nuapada,yes,dabugam,no,12,0,0
nuapada,yes,jhorigam,no,23,0,0
nuapada,yes,kosagumuda,no,26,0,0
nuapada,yes,nabarangpur,no,13,0,0
nuapada,yes,nandahandi,no,11,0,0
nuapada,yes,papadahandi,no,23,0,0
nuapada,yes,raighar,no,26,0,0
nuapada,yes,tentulikhunti,no,15,0,0
nuapada,yes,umerkote,no,26,0,0
nuapada,yes,boden,yes,15,11,73
nuapada,yes,khariar,yes,26,22,85
nuapada,yes,komna,yes,32,28,88
nuapada,yes,nuapada,yes,30,24,80
nuapada,yes,sinapali,yes,23,23,100
rayagada,yes,sinapali,yes,4,0,0
rayagada,yes,bissamcuttack,yes,21,17,81
rayagada,yes,chandrapur,yes,8,4,50
rayagada,yes,gudari,yes,9,5,56
rayagada,yes,gunupur,yes,19,15,79
rayagada,yes,kalyansingpur,yes,14,10,71
rayagada,yes,kasipur,yes,24,20,83
rayagada,yes,kolnara,yes,17,13,76
rayagada,yes,muniguda,yes,17,13,76
rayagada,yes,padmapur,yes,13,9,69
rayagada,yes,ramanaguda,yes,12,8,67
rayagada,yes,rayagada,yes,24,24,100
sambalpur,yes,rayagada,yes,4,0,0
sambalpur,yes,bamra,yes,17,13,76
sambalpur,yes,dhankauda,yes,9,5,56
sambalpur,yes,jamankira,yes,21,17,81
sambalpur,yes,jujomura,yes,18,14,78
sambalpur,yes,kuchinda,yes,17,13,76
sambalpur,yes,maneswar,yes,12,8,67
sambalpur,yes,naktideul,yes,14,10,71
sambalpur,yes,rairakhol,yes,14,10,71
sambalpur,yes,rengali,yes,12,12,100
sonepur,yes,rengali,yes,4,0,0
sonepur,yes,binka,yes,16,11,69
sonepur,yes,biramaharajpur,yes,15,11,73
sonepur,yes,dunguripali,yes,26,22,85
sonepur,yes,sonepur,yes,14,10,71
sonepur,yes,tarbha,yes,21,17,81
sonepur,yes,ullunda,yes,13,13,100
sundargarh,yes,ullunda,yes,4,0,0
sundargarh,yes,balisankara,yes,19,15,79
sundargarh,yes,bargaon,yes,15,11,73
sundargarh,yes,bisra,yes,14,8,57
sundargarh,yes,bonaigarh,yes,13,9,69
sundargarh,yes,gurundia,yes,13,9,69
sundargarh,yes,hemgir,yes,19,15,79
sundargarh,yes,koida,yes,15,11,73
sundargarh,yes,kuarmunda,yes,20,16,80
sundargarh,yes,kutra,yes,16,12,75
sundargarh,yes,lahunipara,yes,17,13,76
sundargarh,yes,lathikata,yes,18,12,67
sundargarh,yes,lephripara,yes,17,13,76
sundargarh,yes,nuagaon,yes,20,16,80
sundargarh,yes,rajgangpur,yes,20,16,80
sundargarh,yes,subdega,yes,14,10,71
sundargarh,yes,sundargarh,yes,16,12,75
sundargarh,yes,tangarpali,yes,9,9,100
angul,yes,tangarpali,yes,4,0,0
angul,yes,anugul,yes,34,31,91
angul,yes,athmallik,yes,24,20,83
angul,yes,banarpal,yes,35,32,91
angul,yes,chhendipada,yes,34,27,79
angul,yes,kaniha,yes,27,23,85
angul,yes,kishorenagar,yes,23,19,83
angul,yes,palalahada,no,27,0,0
angul,yes,talacher,yes,17,17,100
baleshwar,yes,talacher,yes,4,0,0
baleshwar,yes,bahanaga,yes,24,19,79
baleshwar,yes,baleshwar,no,36,0,0
baleshwar,yes,baliapal,yes,28,25,89
baleshwar,yes,basta,yes,31,27,87
baleshwar,yes,bhograi,yes,50,46,92
baleshwar,yes,jaleswar,yes,35,32,91
baleshwar,yes,khaira,yes,37,34,92
baleshwar,yes,nilgiri,yes,25,22,88
baleshwar,yes,oupada,yes,11,8,73
baleshwar,yes,remuna,yes,36,33,92
baleshwar,yes,simulia,yes,22,18,82
baleshwar,yes,soro,yes,21,21,100
bargarh,yes,soro,yes,3,0,0
bargarh,yes,ambabhona,yes,15,12,80
bargarh,yes,attabira,yes,24,21,88
bargarh,yes,bargarh,yes,27,24,89
bargarh,yes,barpali,yes,23,19,83
bargarh,yes,bhatli,yes,16,13,81
bargarh,yes,bheden,yes,22,18,82
bargarh,yes,bijepur,yes,24,20,83
bargarh,yes,gaisilet,yes,19,15,79
bargarh,yes,jharbandh,yes,13,10,77
bargarh,yes,padampur,no,22,0,0
bargarh,yes,paikmal,yes,22,19,86
bargarh,yes,sohella,yes,24,24,100
bhadrak,yes,sohella,yes,3,0,0
bhadrak,yes,basudevpur,yes,36,31,86
bhadrak,yes,bhadrak,yes,36,33,92
bhadrak,yes,bhandaripokhari,yes,23,20,87
