Name of the State,Name of the District,Name of the Block,Number of Gram Panchayats,Name of the Gram Panchayat,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19
Odisha,Bolangir,Agalpur,1,Agalpur,0.900,15.330,14.430,0.000,0.000,0.000,14.430,0.910,0.050
Odisha,Bolangir,Agalpur,2,Babufasad,0.560,21.390,13.660,7.010,0.100,0.000,20.770,0.630,0.620
Odisha,Bolangir,Agalpur,3,Badtika,-1.640,29.840,25.720,5.620,0.080,0.000,31.430,-1.590,0.540
Odisha,Bolangir,Agalpur,4,Bakti,-0.440,11.820,7.760,4.450,0.060,0.000,12.260,-0.440,0.110
Odisha,Bolangir,Agalpur,5,Bendra,0.490,19.380,18.800,0.000,0.000,0.000,18.810,0.570,0.250
Odisha,Bolangir,Agalpur,6,Bharsuja,0.810,23.280,20.160,2.180,0.010,0.000,22.340,0.940,0.190
Odisha,Bolangir,Agalpur,7,Budula,0.900,37.150,30.710,5.250,0.110,0.000,36.070,1.080,0.450
Odisha,Bolangir,Agalpur,8,Duduka,-0.530,41.510,35.290,6.580,0.080,0.000,41.950,-0.450,0.270
Odisha,Bolangir,Agalpur,9,Jharanipali,-0.610,30.370,29.400,1.510,0.020,0.000,30.930,-0.560,0.620
Odisha,Bolangir,Agalpur,10,Kutasingha,-0.380,21.940,22.300,0.000,0.000,0.000,22.300,-0.370,0.000
Odisha,Bolangir,Agalpur,11,Luhuramunda,0.000,17.230,17.200,0.000,0.000,0.000,17.200,0.030,0.490
Odisha,Bolangir,Agalpur,12,Mursundhi,0.000,7.670,7.650,0.000,0.000,0.000,7.650,0.020,0.140
Odisha,Bolangir,Agalpur,13,Nagaon-A,-0.330,32.120,31.880,0.530,0.010,0.000,32.420,-0.290,0.190
Odisha,Bolangir,Agalpur,14,Nagaon-B,0.420,23.860,21.570,1.850,0.020,0.000,23.440,0.420,0.070
Odisha,Bolangir,Agalpur,15,Nuniapali,-2.440,10.280,12.720,0.000,0.000,0.000,12.720,-2.440,0.170
Odisha,Bolangir,Agalpur,16,Patuapali,-0.760,17.560,12.560,5.680,0.090,0.000,18.330,-0.760,0.000
Odisha,Bolangir,Agalpur,17,Rinbachan,0.050,10.350,10.290,0.000,0.000,0.000,10.290,0.050,0.040
Odisha,Bolangir,Agalpur,18,Roth,0.230,23.740,14.200,9.180,0.140,0.000,23.510,0.230,0.380
Odisha,Bolangir,Agalpur,19,Salebhata,1.080,12.000,10.850,0.000,0.000,0.000,10.850,1.150,0.210
Odisha,Bolangir,Agalpur,20,Uperbahal,1.490,24.640,21.950,1.050,0.010,0.000,23.000,1.640,0.230
Odisha,Bolangir,Agalpur,,Total,-0.190,431.450,379.100,50.870,0.730,0.000,430.680,0.760,5.020
Odisha,Bolangir,Agalpur,,Block Level Line Deptt.,-41.450,-41.450,49.160,68.540,0.650,0.700,119.050,-160.500,3.360
Odisha,Bolangir,Agalpur,,Po,-4.820,75.440,0.000,NA,NA,24.710,24.710,50.730,NA
Odisha,Bolangir,Agalpur,,Grand Total,-46.460,465.440,428.260,119.410,1.380,25.410,574.440,-109.010,8.380
Odisha,Bolangir,Bolangir,1,Baidipali,-1.460,15.110,16.510,0.060,0.000,0.000,16.570,-1.460,0.120
Odisha,Bolangir,Bolangir,2,Barapudugia,-1.760,17.810,19.540,0.030,0.000,0.000,19.580,-1.760,0.010
Odisha,Bolangir,Bolangir,3,Barkani,-0.990,11.430,12.350,0.050,0.000,0.000,12.400,-0.970,0.130
Odisha,Bolangir,Bolangir,4,Bhundimuhan,-1.910,17.240,19.090,0.060,0.000,0.000,19.150,-1.910,0.000
Odisha,Bolangir,Bolangir,5,Bhutiarbahal,0.570,14.820,14.230,0.000,0.000,0.000,14.230,0.590,0.060
Odisha,Bolangir,Bolangir,6,Bidighat,-0.260,10.990,10.190,1.060,0.000,0.000,11.250,-0.260,0.180
Odisha,Bolangir,Bolangir,7,Chandanbhati,-0.190,9.110,9.270,0.030,0.000,0.000,9.300,-0.190,0.000
Odisha,Bolangir,Bolangir,8,Chikalbahal,1.300,18.930,17.060,0.580,0.000,0.000,17.630,1.300,0.010
Odisha,Bolangir,Bolangir,9,Chudapali,0.050,28.520,25.450,2.890,0.000,0.000,28.350,0.170,0.000
Odisha,Bolangir,Bolangir,10,Jhankarpali,0.660,15.570,14.890,0.000,0.000,0.000,14.890,0.680,0.050
Odisha,Bolangir,Bolangir,11,Khaliapali,0.310,7.230,6.920,0.000,0.000,0.000,6.920,0.310,0.000
Odisha,Bolangir,Bolangir,12,Khujenpali,-0.030,8.170,8.200,0.000,0.000,0.000,8.200,-0.030,0.020
Odisha,Bolangir,Bolangir,13,Khuntpali,0.260,37.360,26.940,10.150,0.000,0.000,37.090,0.270,0.000
Odisha,Bolangir,Bolangir,14,Kudasingha,-0.040,16.550,16.150,0.420,0.000,0.000,16.580,-0.040,0.080
Odisha,Bolangir,Bolangir,15,Kutumdola,0.000,18.830,18.840,0.000,0.000,0.000,18.840,-0.010,0.150
Odisha,Bolangir,Bolangir,16,Madhiapali,-0.240,8.780,9.020,0.000,0.000,0.000,9.020,-0.240,0.000
Odisha,Bolangir,Bolangir,17,Manhira,0.230,18.380,18.160,0.000,0.000,0.000,18.160,0.230,0.110
Odisha,Bolangir,Bolangir,18,Mayabarha,0.000,24.660,23.110,1.470,0.000,0.000,24.570,0.100,0.010
Odisha,Bolangir,Bolangir,19,Mirdhapali,0.400,6.870,6.640,0.000,0.000,0.000,6.640,0.230,0.120
Odisha,Bolangir,Bolangir,20,Sadeipali,-0.450,3.740,4.190,0.000,0.000,0.000,4.190,-0.450,0.030
Odisha,Bolangir,Bolangir,21,Sahajbahal,-0.330,9.730,10.050,0.000,0.000,0.000,10.060,-0.330,0.010
Odisha,Bolangir,Bolangir,22,Sakma,0.030,14.640,13.970,0.640,0.000,0.000,14.610,0.030,0.050
Odisha,Bolangir,Bolangir,23,Sibtala,-1.030,23.580,24.570,0.050,0.000,0.000,24.610,-1.030,0.190
Odisha,Bolangir,Bolangir,24,Sikachhida,-0.630,16.000,16.620,0.000,0.000,0.000,16.620,-0.610,0.090
Odisha,Bolangir,Bolangir,25,Tusrabahal,-0.490,17.460,16.240,1.680,0.000,0.000,17.920,-0.460,0.010
Odisha,Bolangir,Bolangir,,Total,-5.990,391.520,378.210,19.160,0.000,0.000,397.370,-5.850,1.440
Odisha,Bolangir,Bolangir,,Block Level Line Deptt.,-8.610,-8.610,62.610,38.270,0.800,0.910,102.590,-111.200,1.140
Odisha,Bolangir,Bolangir,,Po,-12.010,36.090,0.000,NA,NA,36.030,36.030,0.060,NA
Odisha,Bolangir,Bolangir,,Grand Total,-26.620,419.000,440.820,57.430,0.800,36.940,535.990,-116.990,2.580
Odisha,Bolangir,Bangomunda,1,Alanda,-0.360,90.010,61.380,28.930,0.000,0.000,90.300,-0.290,0.370
Odisha,Bolangir,Bangomunda,2,Arsatula,-3.170,33.940,27.620,9.490,0.000,0.000,37.100,-3.160,0.160
Odisha,Bolangir,Bangomunda,3,Baldha,-1.600,47.200,31.930,15.930,0.900,0.000,48.760,-1.560,0.270
Odisha,Bolangir,Bangomunda,4,Bangomunda,0.060,36.490,22.080,14.290,0.000,0.000,36.380,0.110,0.220
Odisha,Bolangir,Bangomunda,5,Belpada,-3.880,64.990,40.540,28.020,0.070,0.000,68.630,-3.640,0.430
Odisha,Bolangir,Bangomunda,6,Bhalumunda,2.900,38.220,17.590,17.720,0.000,0.000,35.320,2.910,0.260
Odisha,Bolangir,Bangomunda,7,Bhursagura,0.000,27.180,22.970,4.260,0.000,0.000,27.230,-0.040,0.080
Odisha,Bolangir,Bangomunda,8,Bhuslad,2.990,75.820,45.890,26.880,0.000,0.000,72.760,3.070,0.270
Odisha,Bolangir,Bangomunda,9,Biripali,2.930,11.580,8.660,0.000,0.000,0.000,8.650,2.930,0.120
Odisha,Bolangir,Bangomunda,10,Chandotara,2.360,58.500,34.660,21.410,0.000,0.000,56.070,2.430,0.100
Odisha,Bolangir,Bangomunda,11,Chulifunka,4.890,66.290,41.740,19.550,0.000,0.000,61.290,5.000,0.050
Odisha,Bolangir,Bangomunda,12,Dedgaon,0.260,54.410,41.080,12.990,0.000,0.000,54.070,0.340,0.550
Odisha,Bolangir,Bangomunda,13,Gandharabandh,0.000,28.700,25.580,9.030,0.000,0.000,34.600,-5.890,0.360
Odisha,Bolangir,Bangomunda,14,Gandharla,0.500,61.450,44.870,15.940,0.000,0.000,60.820,0.630,0.230
Odisha,Bolangir,Bangomunda,15,Jamkhunta,4.100,70.090,49.230,16.710,0.000,0.000,65.940,4.150,0.280
Odisha,Bolangir,Bangomunda,16,Jhalap,0.580,90.950,56.610,33.710,0.000,0.000,90.320,0.630,0.210
Odisha,Bolangir,Bangomunda,17,Jharial,1.670,18.760,12.580,4.510,0.000,0.000,17.090,1.670,0.360
Odisha,Bolangir,Bangomunda,18,Jurabandh,0.830,33.920,24.270,8.730,0.000,0.000,33.000,0.920,0.400
Odisha,Bolangir,Bangomunda,19,Kansil,0.000,17.850,17.720,0.000,0.000,0.000,17.720,0.130,0.180
Odisha,Bolangir,Bangomunda,20,Kapilbhata,-0.480,58.140,38.930,19.560,0.000,0.000,58.490,-0.350,0.530
Odisha,Bolangir,Bangomunda,21,Khaira,1.000,30.700,24.640,4.920,0.150,0.000,29.700,1.000,0.210
Odisha,Bolangir,Bangomunda,22,Kundabutula,6.690,32.940,16.690,9.510,0.000,0.000,26.200,6.740,0.070
Odisha,Bolangir,Bangomunda,23,Mundapadar,-0.040,47.930,36.480,11.440,0.000,0.000,47.930,0.010,0.450
Odisha,Bolangir,Bangomunda,24,Sindhekela,4.190,45.070,25.400,15.400,0.000,0.000,40.790,4.270,0.070
Odisha,Bolangir,Bangomunda,25,Themra,-0.210,100.170,67.620,32.580,0.000,0.000,100.200,-0.040,2.350
Odisha,Bolangir,Bangomunda,26,Turekela,0.000,25.430,18.190,7.240,0.000,0.000,25.430,0.000,0.090
Odisha,Bolangir,Bangomunda,,Total,26.200,1266.740,854.900,388.760,1.110,0.000,1244.780,21.960,8.680
Odisha,Bolangir,Bangomunda,,Block Level Line Deptt.,-103.710,-103.710,221.490,165.350,4.660,0.130,391.630,-495.340,3.960
Odisha,Bolangir,Bangomunda,,Po,0.750,337.980,0.000,NA,NA,43.920,43.920,294.060,NA
Odisha,Bolangir,Bangomunda,,Grand Total,-76.770,1501.010,1076.390,554.110,5.770,44.050,1680.330,-179.320,12.640
Odisha,Bolangir,Belpara,1,Bagdor,-0.150,37.590,28.350,9.370,0.000,0.000,37.720,-0.130,0.140
Odisha,Bolangir,Belpara,2,Bahabal,-0.240,10.750,10.990,0.000,0.000,0.000,10.990,-0.240,0.000
Odisha,Bolangir,Belpara,3,Balikhamar,0.000,1.310,1.310,0.000,0.000,0.000,1.310,0.000,0.140
Odisha,Bolangir,Belpara,4,Beheramunda,0.670,5.240,4.570,0.000,0.000,0.000,4.570,0.670,0.200
Odisha,Bolangir,Belpara,5,Belpada,3.010,27.350,23.080,1.250,0.000,0.000,24.340,3.010,0.250
Odisha,Bolangir,Belpara,6,Bharuapali,-0.080,20.450,16.310,4.220,0.000,0.000,20.530,-0.080,0.360
Odisha,Bolangir,Belpara,7,Darlipali,0.000,15.520,13.040,1.850,0.000,0.000,14.890,0.630,0.080
Odisha,Bolangir,Belpara,8,Dhumabhata,1.140,23.220,22.070,0.000,0.000,0.000,22.070,1.150,0.520
Odisha,Bolangir,Belpara,9,Gambhari,0.710,12.790,9.060,3.020,0.000,0.000,12.080,0.710,0.830
