s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,agalpur,1,agalpur,0.9,15.33,14.43,0,0,0,14.43,0.91,0.05,1,bolangir,agalpur,agalpur
odisha,bolangir,agalpur,2,babufasad,0.56,21.39,13.66,7.01,0.1,0,20.77,0.63,0.62,2,bolangir,agalpur,babufasad
odisha,bolangir,agalpur,3,badtika,-1.64,29.84,25.72,5.62,0.08,0,31.43,-1.59,0.54,3,bolangir,agalpur,badtika
odisha,bolangir,agalpur,4,bakti,-0.44,11.82,7.76,4.45,0.06,0,12.26,-0.44,0.11,4,bolangir,agalpur,bakti
odisha,bolangir,agalpur,5,bendra,0.49,19.38,18.8,0,0,0,18.81,0.57,0.25,5,bolangir,agalpur,bendra
odisha,bolangir,agalpur,6,bharsuja,0.81,23.28,20.16,2.18,0.01,0,22.34,0.94,0.19,6,bolangir,agalpur,bharsuja
odisha,bolangir,agalpur,7,budula,0.9,37.15,30.71,5.25,0.11,0,36.07,1.08,0.45,7,bolangir,agalpur,budula
odisha,bolangir,agalpur,8,duduka,-0.53,41.51,35.29,6.58,0.08,0,41.95,-0.45,0.27,8,bolangir,agalpur,duduka
odisha,bolangir,agalpur,9,jharanipali,-0.61,30.37,29.4,1.51,0.02,0,30.93,-0.56,0.62,9,bolangir,agalpur,jharanipali
odisha,bolangir,agalpur,10,kutasingha,-0.38,21.94,22.3,0,0,0,22.3,-0.37,0,10,bolangir,agalpur,kutasingha
odisha,bolangir,agalpur,11,luhuramunda,0,17.23,17.2,0,0,0,17.2,0.03,0.49,11,bolangir,agalpur,luhuramunda
odisha,bolangir,agalpur,12,mursundhi,0,7.67,7.65,0,0,0,7.65,0.02,0.14,12,bolangir,agalpur,mursundhi
odisha,bolangir,agalpur,13,nagaon-a,-0.33,32.12,31.88,0.53,0.01,0,32.42,-0.29,0.19,13,bolangir,agalpur,nagaon-a
odisha,bolangir,agalpur,14,nagaon-b,0.42,23.86,21.57,1.85,0.02,0,23.44,0.42,0.07,14,bolangir,agalpur,nagaon-b
odisha,bolangir,agalpur,15,nuniapali,-2.44,10.28,12.72,0,0,0,12.72,-2.44,0.17,15,bolangir,agalpur,nuniapali
odisha,bolangir,agalpur,16,patuapali,-0.76,17.56,12.56,5.68,0.09,0,18.33,-0.76,0,16,bolangir,agalpur,patuapali
odisha,bolangir,agalpur,17,rinbachan,0.05,10.35,10.29,0,0,0,10.29,0.05,0.04,17,bolangir,agalpur,rinbachan
odisha,bolangir,agalpur,18,roth,0.23,23.74,14.2,9.18,0.14,0,23.51,0.23,0.38,18,bolangir,agalpur,roth
odisha,bolangir,agalpur,19,salebhata,1.08,12,10.85,0,0,0,10.85,1.15,0.21,19,bolangir,agalpur,salebhata
odisha,bolangir,agalpur,20,uperbahal,1.49,24.64,21.95,1.05,0.01,0,23,1.64,0.23,20,bolangir,agalpur,uperbahal
odisha,bolangir,bolangir,1,baidipali,-1.46,15.11,16.51,0.06,0,0,16.57,-1.46,0.12,21,bolangir,bolangir,baidipali
odisha,bolangir,bolangir,2,barapudugia,-1.76,17.81,19.54,0.03,0,0,19.58,-1.76,0.01,22,bolangir,bolangir,barapudugia
odisha,bolangir,bolangir,3,barkani,-0.99,11.43,12.35,0.05,0,0,12.4,-0.97,0.13,23,bolangir,bolangir,barkani
odisha,bolangir,bolangir,4,bhundimuhan,-1.91,17.24,19.09,0.06,0,0,19.15,-1.91,0,24,bolangir,bolangir,bhundimuhan
odisha,bolangir,bolangir,5,bhutiarbahal,0.57,14.82,14.23,0,0,0,14.23,0.59,0.06,25,bolangir,bolangir,bhutiarbahal
odisha,bolangir,bolangir,6,bidighat,-0.26,10.99,10.19,1.06,0,0,11.25,-0.26,0.18,26,bolangir,bolangir,bidighat
odisha,bolangir,bolangir,7,chandanbhati,-0.19,9.11,9.27,0.03,0,0,9.3,-0.19,0,27,bolangir,bolangir,chandanbhati
odisha,bolangir,bolangir,8,chikalbahal,1.3,18.93,17.06,0.58,0,0,17.63,1.3,0.01,28,bolangir,bolangir,chikalbahal
odisha,bolangir,bolangir,9,chudapali,0.05,28.52,25.45,2.89,0,0,28.35,0.17,0,29,bolangir,bolangir,chudapali
odisha,bolangir,bolangir,10,jhankarpali,0.66,15.57,14.89,0,0,0,14.89,0.68,0.05,30,bolangir,bolangir,jhankarpali
