Name of The State ,Name of The District,Name of The Block,Number of Gram Panchayats,Name  of Gram Panchayats,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20
Odisha,Bolangir,Agalpur,1,Agalpur,0.900,33.490,32.540,0.000,0.000,0.000,32.540,0.950,0.380
Odisha,Bolangir,Agalpur,2,Babufasad,0.560,45.570,33.110,11.130,0.170,0.000,44.420,1.150,0.970
Odisha,Bolangir,Agalpur,3,Badtika,-1.640,36.420,32.640,5.330,0.090,0.000,38.060,-1.640,0.080
Odisha,Bolangir,Agalpur,4,Bakti,-0.440,14.120,12.990,1.550,0.010,0.000,14.560,-0.440,0.010
Odisha,Bolangir,Agalpur,5,Bendra,0.490,33.990,30.790,2.630,0.040,0.000,33.460,0.530,0.920
Odisha,Bolangir,Agalpur,6,Bharsuja,0.810,94.520,65.820,27.180,0.340,0.000,93.350,1.170,0.390
Odisha,Bolangir,Agalpur,7,Budula,0.900,51.750,48.860,1.960,0.030,0.000,50.860,0.890,0.280
Odisha,Bolangir,Agalpur,8,Duduka,-0.530,33.870,34.270,0.000,0.000,0.000,34.270,-0.390,0.060
Odisha,Bolangir,Agalpur,9,Jharanipali,-0.610,34.840,34.440,0.920,0.050,0.000,35.410,-0.580,0.690
Odisha,Bolangir,Agalpur,10,Kutasingha,-0.380,39.410,39.790,0.000,0.000,0.000,39.790,-0.380,0.060
Odisha,Bolangir,Agalpur,11,Luhuramunda,0.000,23.860,23.710,0.000,0.000,0.000,23.710,0.160,0.400
Odisha,Bolangir,Agalpur,12,Mursundhi,0.000,11.280,11.060,0.000,0.000,0.000,11.060,0.220,0.060
Odisha,Bolangir,Agalpur,13,Nagaon-A,-0.330,40.700,37.590,3.360,0.060,0.000,41.010,-0.300,0.080
Odisha,Bolangir,Agalpur,14,Nagaon-B,0.420,23.450,21.160,1.660,0.000,0.000,22.820,0.630,1.070
Odisha,Bolangir,Agalpur,15,Nuniapali,-2.440,28.930,31.380,0.000,0.000,0.000,31.380,-2.440,0.130
Odisha,Bolangir,Agalpur,16,Patuapali,-0.760,23.290,22.210,1.830,0.020,0.000,24.060,-0.780,0.140
Odisha,Bolangir,Agalpur,17,Rinbachan,0.050,12.460,12.390,0.000,0.000,0.000,12.390,0.070,0.020
Odisha,Bolangir,Agalpur,18,Roth,0.230,37.080,25.790,10.740,0.150,0.000,36.680,0.400,0.430
Odisha,Bolangir,Agalpur,19,Salebhata,1.080,26.650,25.570,0.000,0.000,0.000,25.570,1.080,0.080
