s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,agalpur,1,agalpur,0.9,33.49,32.54,0,0,0,32.54,0.95,0.38,1,bolangir,agalpur,agalpur
odisha,bolangir,agalpur,2,babufasad,0.56,45.57,33.11,11.13,0.17,0,44.42,1.15,0.97,2,bolangir,agalpur,babufasad
odisha,bolangir,agalpur,3,badtika,-1.64,36.42,32.64,5.33,0.09,0,38.06,-1.64,0.08,3,bolangir,agalpur,badtika
odisha,bolangir,agalpur,4,bakti,-0.44,14.12,12.99,1.55,0.01,0,14.56,-0.44,0.01,4,bolangir,agalpur,bakti
odisha,bolangir,agalpur,5,bendra,0.49,33.99,30.79,2.63,0.04,0,33.46,0.53,0.92,5,bolangir,agalpur,bendra
odisha,bolangir,agalpur,6,bharsuja,0.81,94.52,65.82,27.18,0.34,0,93.35,1.17,0.39,6,bolangir,agalpur,bharsuja
odisha,bolangir,agalpur,7,budula,0.9,51.75,48.86,1.96,0.03,0,50.86,0.89,0.28,7,bolangir,agalpur,budula
odisha,bolangir,agalpur,8,duduka,-0.53,33.87,34.27,0,0,0,34.27,-0.39,0.06,8,bolangir,agalpur,duduka
odisha,bolangir,agalpur,9,jharanipali,-0.61,34.84,34.44,0.92,0.05,0,35.41,-0.58,0.69,9,bolangir,agalpur,jharanipali
odisha,bolangir,agalpur,10,kutasingha,-0.38,39.41,39.79,0,0,0,39.79,-0.38,0.06,10,bolangir,agalpur,kutasingha
odisha,bolangir,agalpur,11,luhuramunda,0,23.86,23.71,0,0,0,23.71,0.16,0.4,11,bolangir,agalpur,luhuramunda
odisha,bolangir,agalpur,12,mursundhi,0,11.28,11.06,0,0,0,11.06,0.22,0.06,12,bolangir,agalpur,mursundhi
odisha,bolangir,agalpur,13,nagaon-a,-0.33,40.7,37.59,3.36,0.06,0,41.01,-0.3,0.08,13,bolangir,agalpur,nagaon-a
odisha,bolangir,agalpur,14,nagaon-b,0.42,23.45,21.16,1.66,0,0,22.82,0.63,1.07,14,bolangir,agalpur,nagaon-b
odisha,bolangir,agalpur,15,nuniapali,-2.44,28.93,31.38,0,0,0,31.38,-2.44,0.13,15,bolangir,agalpur,nuniapali
odisha,bolangir,agalpur,16,patuapali,-0.76,23.29,22.21,1.83,0.02,0,24.06,-0.78,0.14,16,bolangir,agalpur,patuapali
odisha,bolangir,agalpur,17,rinbachan,0.05,12.46,12.39,0,0,0,12.39,0.07,0.02,17,bolangir,agalpur,rinbachan
odisha,bolangir,agalpur,18,roth,0.23,37.08,25.79,10.74,0.15,0,36.68,0.4,0.43,18,bolangir,agalpur,roth
odisha,bolangir,agalpur,19,salebhata,1.08,26.65,25.57,0,0,0,25.57,1.08,0.08,19,bolangir,agalpur,salebhata
odisha,bolangir,agalpur,20,uperbahal,1.49,39.35,37.75,0.08,0,0,37.83,1.52,0.35,20,bolangir,agalpur,uperbahal
odisha,bolangir,bolangir,1,baidipali,-1.46,28.77,30.23,0,0,0,30.22,-1.46,0.06,21,bolangir,bolangir,baidipali
odisha,bolangir,bolangir,2,barapudugia,-1.76,23.13,24.89,0,0,0,24.89,-1.76,0.01,22,bolangir,bolangir,barapudugia
odisha,bolangir,bolangir,3,barkani,-0.99,24.96,25.95,0,0,0,25.95,-0.99,0.02,23,bolangir,bolangir,barkani
odisha,bolangir,bolangir,4,bhundimuhan,-1.91,45.32,33.7,13.34,0.14,0,47.18,-1.86,0,24,bolangir,bolangir,bhundimuhan
odisha,bolangir,bolangir,5,bhutiarbahal,0.57,23.22,22.42,0,0,0,22.43,0.79,0.33,25,bolangir,bolangir,bhutiarbahal
odisha,bolangir,bolangir,6,bidighat,-0.26,8.56,6.64,2.17,0,0,8.81,-0.26,0,26,bolangir,bolangir,bidighat
odisha,bolangir,bolangir,7,chandanbhati,-0.19,11.79,11.98,0,0,0,11.98,-0.19,0,27,bolangir,bolangir,chandanbhati
odisha,bolangir,bolangir,8,chikalbahal,1.3,34.06,26.24,6.47,0.02,0,32.74,1.32,0.02,28,bolangir,bolangir,chikalbahal
odisha,bolangir,bolangir,9,chudapali,0.05,61.89,55.15,6.61,0.07,0,61.83,0.06,0.01,29,bolangir,bolangir,chudapali
odisha,bolangir,bolangir,10,jhankarpali,0.66,23.7,22.81,0.21,0,0,23.02,0.69,0.11,30,bolangir,bolangir,jhankarpali
odisha,bolangir,bolangir,11,khaliapali,0.31,6.19,5.88,0,0,0,5.88,0.31,0.09,31,bolangir,bolangir,khaliapali
odisha,bolangir,bolangir,12,khujenpali,-0.03,12.56,12.59,0,0,0,12.59,-0.03,0.03,32,bolangir,bolangir,khujenpali
odisha,bolangir,bolangir,13,khuntpali,0.26,28.01,26.39,1.3,0.02,0,27.71,0.3,0.07,33,bolangir,bolangir,khuntpali
odisha,bolangir,bolangir,14,kudasingha,-0.04,20.33,18.77,1.6,0,0,20.37,-0.04,0.02,34,bolangir,bolangir,kudasingha
odisha,bolangir,bolangir,15,kutumdola,0,26.49,26.42,0.06,0,0,26.49,0,0.18,35,bolangir,bolangir,kutumdola
odisha,bolangir,bolangir,16,madhiapali,-0.24,9.95,10.19,0,0,0,10.19,-0.24,0,36,bolangir,bolangir,madhiapali
odisha,bolangir,bolangir,17,manhira,0.23,14.81,14.46,0,0,0,14.46,0.35,0.29,37,bolangir,bolangir,manhira
odisha,bolangir,bolangir,18,mayabarha,0,59.68,49.74,9.14,0.05,0,58.93,0.74,0.02,38,bolangir,bolangir,mayabarha
odisha,bolangir,bolangir,19,mirdhapali,0.4,16.09,15.69,0,0,0,15.69,0.4,0,39,bolangir,bolangir,mirdhapali
odisha,bolangir,bolangir,20,sadeipali,-0.45,7.3,7.76,0,0,0,7.76,-0.45,0.14,40,bolangir,bolangir,sadeipali
odisha,bolangir,bolangir,21,sahajbahal,-0.33,15.09,15.4,0.02,0,0,15.42,-0.33,0.02,41,bolangir,bolangir,sahajbahal
odisha,bolangir,bolangir,22,sakma,0.03,6.54,6.5,0,0,0,6.5,0.03,0.1,42,bolangir,bolangir,sakma
odisha,bolangir,bolangir,23,sibtala,-1.03,26.79,27.55,0,0,0,27.54,-0.75,0.21,43,bolangir,bolangir,sibtala
odisha,bolangir,bolangir,24,sikachhida,-0.63,15.82,16.42,0.02,0,0,16.45,-0.63,0.1,44,bolangir,bolangir,sikachhida
odisha,bolangir,bolangir,25,tusrabahal,-0.49,36.44,28.56,8.18,0.09,0,36.83,-0.39,0,45,bolangir,bolangir,tusrabahal
odisha,bolangir,bangomunda,1,alanda,-0.36,58.75,43.22,16.05,0,0,59.27,-0.52,0.78,46,bolangir,bangomunda,alanda
odisha,bolangir,bangomunda,2,arsatula,-3.17,28.35,27.75,3.78,0,0,31.53,-3.17,0.32,47,bolangir,bangomunda,arsatula
odisha,bolangir,bangomunda,3,baldha,-1.6,83.88,72.61,11.73,0.86,0,85.21,-1.33,1.52,48,bolangir,bangomunda,baldha
odisha,bolangir,bangomunda,4,bangomunda,0.06,44.11,36.63,7.04,0,0,43.68,0.43,1.09,49,bolangir,bangomunda,bangomunda
odisha,bolangir,bangomunda,5,belpada,-3.88,69.75,62.51,11.23,0,0,73.74,-3.99,3.43,50,bolangir,bangomunda,belpada
odisha,bolangir,bangomunda,6,bhalumunda,2.9,40.96,31.93,6.13,0,0,38.06,2.9,0.11,51,bolangir,bangomunda,bhalumunda
odisha,bolangir,bangomunda,7,bhursagura,0,27.22,27.22,0,0,0,27.22,0,0.17,52,bolangir,bangomunda,bhursagura
odisha,bolangir,bangomunda,8,bhuslad,2.99,170.95,116.94,50.64,0.49,0,168.07,2.88,0.56,53,bolangir,bangomunda,bhuslad
odisha,bolangir,bangomunda,9,biripali,2.93,25.23,21.9,0,0,0,21.89,3.34,1.86,54,bolangir,bangomunda,biripali
odisha,bolangir,bangomunda,10,chandotara,2.36,42.4,40.01,0,0,0,40.01,2.39,0.3,55,bolangir,bangomunda,chandotara
odisha,bolangir,bangomunda,11,chulifunka,4.89,51.64,41.84,4.86,0.05,0,46.75,4.89,0.26,56,bolangir,bangomunda,chulifunka
odisha,bolangir,bangomunda,12,dedgaon,0.26,88.94,65.85,22.86,0,0,88.71,0.23,0.12,57,bolangir,bangomunda,dedgaon
odisha,bolangir,bangomunda,13,gandharabandh,0,24.12,25.14,5.89,0,0,31.03,-6.91,0.26,58,bolangir,bangomunda,gandharabandh
odisha,bolangir,bangomunda,14,gandharla,0.5,90.7,83.98,6.32,0,0,90.29,0.41,1.32,59,bolangir,bangomunda,gandharla
odisha,bolangir,bangomunda,15,jamkhunta,4.1,55,40.44,10.45,0,0,50.89,4.1,2.05,60,bolangir,bangomunda,jamkhunta
