State Name ,District Name,Urban Local Bodies (Municipality/Munipal Corparation/Nac,Block,Rural Local Bodies (Gp/Ward),Total_IGNDPS
Odisha ,Angul,Angul Urban,NA,Ward-1,0.14
Odisha ,Angul,Angul Urban,NA,Ward-13,0.14
Odisha ,Angul,Angul Urban,NA,Ward-14,0.28
Odisha ,Angul,Angul Urban,NA,Ward-15,0.14
Odisha ,Angul,Angul Urban,NA,Ward-16,0.14
Odisha ,Angul,Angul Urban,NA,Ward-2,0.32
Odisha ,Angul,Angul Urban,NA,Ward-22,0.14
Odisha ,Angul,Angul Urban,NA,Ward-3,0.28
Odisha ,Angul,Angul Urban,NA,Ward-8,0.42
Odisha ,Angul,Angul Urban,NA,Total,2
Odisha ,Angul,NA,Anugul,Khalari,0.13
Odisha ,Angul,NA,Anugul,Manikajodi,0.38
Odisha ,Angul,NA,Anugul,Total,0.51
Odisha ,Angul,NA,Athmallik,Aida,2.01
Odisha ,Angul,NA,Athmallik,Ambasarmunda,3.44
Odisha ,Angul,NA,Athmallik,Basudevpur,0.29
Odisha ,Angul,NA,Athmallik,Kandhapada,1.32
Odisha ,Angul,NA,Athmallik,Kantapada,0.23
Odisha ,Angul,NA,Athmallik,Krutibaspur,1.72
Odisha ,Angul,NA,Athmallik,Kudagaon,1.6
Odisha ,Angul,NA,Athmallik,Kurumtap,2.81
Odisha ,Angul,NA,Athmallik,Madhapur,2.24
Odisha ,Angul,NA,Athmallik,Maimura,0.23
Odisha ,Angul,NA,Athmallik,Nagaon,1.15
Odisha ,Angul,NA,Athmallik,Pedipathar,3.09
Odisha ,Angul,NA,Athmallik,Purunamanitri,0.79
Odisha ,Angul,NA,Athmallik,Sanahula,2.58
Odisha ,Angul,NA,Athmallik,Sapaghar,0.45
Odisha ,Angul,NA,Athmallik,Tapdhol,0.57
Odisha ,Angul,NA,Athmallik,Thakurgarh,0.23
Odisha ,Angul,NA,Athmallik,Tusar,1.94
Odisha ,Angul,NA,Athmallik,Total,26.69
Odisha ,Angul,NA,Banarpal,Kulad,0.87
Odisha ,Angul,NA,Banarpal,Sankerjanga,2.94
Odisha ,Angul,NA,Banarpal,Total,3.81
Odisha ,Angul,NA,Chhendipada,Bagedia,0.56
Odisha ,Angul,NA,Chhendipada,Bahalsahi,0.36
Odisha ,Angul,NA,Chhendipada,Balipata,2.35
Odisha ,Angul,NA,Chhendipada,Barapada,0.84
Odisha ,Angul,NA,Chhendipada,Barasahi,0.32
Odisha ,Angul,NA,Chhendipada,Basantapur,1.01
Odisha ,Angul,NA,Chhendipada,Brahmanbil,1.74
Odisha ,Angul,NA,Chhendipada,Changudia,1.01
Odisha ,Angul,NA,Chhendipada,Chhendipada,3.81
Odisha ,Angul,NA,Chhendipada,Durgapur,12.53
Odisha ,Angul,NA,Chhendipada,Jarapada,9.07
Odisha ,Angul,NA,Chhendipada,Jerang Dehurisahi,6.75
Odisha ,Angul,NA,Chhendipada,Kampasala,5
Odisha ,Angul,NA,Chhendipada,Kanaloi,1.23
Odisha ,Angul,NA,Chhendipada,Katada,11.17
