State Name ,District Name,Urban Local Bodies (Munipal Corparation/Municipality / NAC,Block,Rural Local Bodies (GP/Ward),Total_IGNOAPS
Odisha ,Angul,Angul Urban,NA,Ward 1,0.74
Odisha ,Angul,Angul Urban,NA,Ward 11,0.15
Odisha ,Angul,Angul Urban,NA,Ward 12,0.22
Odisha ,Angul,Angul Urban,NA,Ward 13,0.61
Odisha ,Angul,Angul Urban,NA,Ward 14,0.15
Odisha ,Angul,Angul Urban,NA,Ward 15,1
Odisha ,Angul,Angul Urban,NA,Ward 16,1.22
Odisha ,Angul,Angul Urban,NA,Ward 18,0.15
Odisha ,Angul,Angul Urban,NA,Ward 19,0.15
Odisha ,Angul,Angul Urban,NA,Ward 2,1.19
Odisha ,Angul,Angul Urban,NA,Ward 20,0.39
Odisha ,Angul,Angul Urban,NA,Ward 23,0.3
Odisha ,Angul,Angul Urban,NA,Ward 5,0.39
Odisha ,Angul,Angul Urban,NA,Ward 6,0.54
Odisha ,Angul,Angul Urban,NA,Ward 7,0.7
Odisha ,Angul,Angul Urban,NA,Ward 8,1.12
Odisha ,Angul,Angul Urban,NA,Ward 9,1.06
Odisha ,Angul,Angul Urban,NA,Total,10.08
Odisha ,Angul,NA,Anugul,Antulia  ,31.41
Odisha ,Angul,NA,Anugul,Khalari   ,2.22
Odisha ,Angul,NA,Anugul,Total,33.63
Odisha ,Angul,NA,Athmallik,Aida   ,63.22
Odisha ,Angul,NA,Athmallik,Ambasarmunda   ,36.11
Odisha ,Angul,NA,Athmallik,Basudevpur  ,17.9
Odisha ,Angul,NA,Athmallik,Jamudoli   ,23.83
Odisha ,Angul,NA,Athmallik,Kampala  ,53.8
Odisha ,Angul,NA,Athmallik,Kandhapada   ,59.27
Odisha ,Angul,NA,Athmallik,Kantapada  ,14.25
Odisha ,Angul,NA,Athmallik,Kiakata   ,52.26
Odisha ,Angul,NA,Athmallik,Krutibaspur  ,30.57
Odisha ,Angul,NA,Athmallik,Kudagaon   ,44.53
Odisha ,Angul,NA,Athmallik,Kurumtap   ,25.81
Odisha ,Angul,NA,Athmallik,Luhasingha  ,26.13
Odisha ,Angul,NA,Athmallik,Lunahandi   ,49.14
Odisha ,Angul,NA,Athmallik,Madhapur  ,46.74
Odisha ,Angul,NA,Athmallik,Maimura   ,23.4
Odisha ,Angul,NA,Athmallik,Nagaon   ,37.32
Odisha ,Angul,NA,Athmallik,Paikasahi   ,27.72
Odisha ,Angul,NA,Athmallik,Pedipathar   ,52.66
Odisha ,Angul,NA,Athmallik,Purunamanitri   ,50.87
Odisha ,Angul,NA,Athmallik,Sanahula   ,31.97
Odisha ,Angul,NA,Athmallik,Sapaghar  ,49.59
Odisha ,Angul,NA,Athmallik,Tapdhol   ,22.43
Odisha ,Angul,NA,Athmallik,Thakurgarh   ,42.41
Odisha ,Angul,NA,Athmallik,Tusar   ,46.52
Odisha ,Angul,NA,Athmallik,Total,928.45
Odisha ,Angul,NA,Banarpal,Badakerajanga  ,32.9
Odisha ,Angul,NA,Banarpal,Sankerjanga  ,7.65
Odisha ,Angul,NA,Banarpal,Total,40.55
Odisha ,Angul,NA,Chhendipada,Bagedia,15.07
Odisha ,Angul,NA,Chhendipada,Bahalsahi,144.49
Odisha ,Angul,NA,Chhendipada,Balipata,183.85
Odisha ,Angul,NA,Chhendipada,Barapada,27.33
Odisha ,Angul,NA,Chhendipada,Barasahi,130.35
Odisha ,Angul,NA,Chhendipada,Basantapur,137.36
Odisha ,Angul,NA,Chhendipada,Brahmanbil,181.31
Odisha ,Angul,NA,Chhendipada,Changudia,122.87
Odisha ,Angul,NA,Chhendipada,Durgapur,115.69
Odisha ,Angul,NA,Chhendipada,Jarapada,105.42
Odisha ,Angul,NA,Chhendipada,Jerang Dehurisahi,124.42
Odisha ,Angul,NA,Chhendipada,Kampasala,177.26
Odisha ,Angul,NA,Chhendipada,Kanaloi,139.25
Odisha ,Angul,NA,Chhendipada,Kankarei,50.18
Odisha ,Angul,NA,Chhendipada,Katada,137.36
Odisha ,Angul,NA,Chhendipada,Korada,171.92
Odisha ,Angul,NA,Chhendipada,Kosala,224.1
Odisha ,Angul,NA,Chhendipada,Kukurpeta,91.17
Odisha ,Angul,NA,Chhendipada,Kusakila,115.24
Odisha ,Angul,NA,Chhendipada,Machhakuta,72.72
Odisha ,Angul,NA,Chhendipada,Natada,104.98
Odisha ,Angul,NA,Chhendipada,Nisa,53.59
Odisha ,Angul,NA,Chhendipada,Nuagaon,140.28
Odisha ,Angul,NA,Chhendipada,Ogi,218.15
Odisha ,Angul,NA,Chhendipada,Para,220.15
Odisha ,Angul,NA,Chhendipada,Patakamunda,209.41
Odisha ,Angul,NA,Chhendipada,Patrapada,208.56
Odisha ,Angul,NA,Chhendipada,Similipal,182.68
Odisha ,Angul,NA,Chhendipada,T.Kodasahi,123.46
Odisha ,Angul,NA,Chhendipada,Tangiri,207.96
Odisha ,Angul,NA,Chhendipada,Tukuda,287.58
Odisha ,Angul,NA,Chhendipada,Paranga,83.45
Odisha ,Angul,NA,Chhendipada,Total,4507.61
Odisha ,Angul,NA,Kaniha,Arkil   ,17.8
Odisha ,Angul,NA,Kaniha,Badagunduri  ,29.83
Odisha ,Angul,NA,Kaniha,Badatribida   ,27.83
Odisha ,Angul,NA,Kaniha,Bajrakote   ,63.54
Odisha ,Angul,NA,Kaniha,Balipasi   ,59
Odisha ,Angul,NA,Kaniha,Bijigol  ,33.1
Odisha ,Angul,NA,Kaniha,Biru ,26.74
Odisha ,Angul,NA,Kaniha,Burukuna   ,42.05
Odisha ,Angul,NA,Kaniha,Dalaka  ,45.22
Odisha ,Angul,NA,Kaniha,Derang   ,31.72
Odisha ,Angul,NA,Kaniha,Gandamala  ,36.46
Odisha ,Angul,NA,Kaniha,Hanumanpur  ,31.68
Odisha ,Angul,NA,Kaniha,Hariharpur  ,14.53
Odisha ,Angul,NA,Kaniha,Jarada  ,27.76
Odisha ,Angul,NA,Kaniha,Kakudia   ,24.84
Odisha ,Angul,NA,Kaniha,Kamarei   ,34.86
Odisha ,Angul,NA,Kaniha,Kaniha ,62.1
Odisha ,Angul,NA,Kaniha,Karnapal  ,33.22
Odisha ,Angul,NA,Kaniha,Kulei  ,30.98
Odisha ,Angul,NA,Kaniha,Kuluma   ,35.36
Odisha ,Angul,NA,Kaniha,Parabil ,33.05
Odisha ,Angul,NA,Kaniha,Rengali ,39.9
Odisha ,Angul,NA,Kaniha,Samal  ,6.56
Odisha ,Angul,NA,Kaniha,Sanatribida  ,36.58
Odisha ,Angul,NA,Kaniha,Susuba  ,52.48
Odisha ,Angul,NA,Kaniha,Talapada   ,38.24
Odisha ,Angul,NA,Kaniha,Gadasila   ,8.25
Odisha ,Angul,NA,Kaniha,Total,923.68
Odisha ,Angul,NA,Kishorenagar,Ambapal   ,130.62
Odisha ,Angul,NA,Kishorenagar,Angapada   ,150.81
Odisha ,Angul,NA,Kishorenagar,Bamur   ,179.15
Odisha ,Angul,NA,Kishorenagar,Bileinali   ,163.15
Odisha ,Angul,NA,Kishorenagar,Dhadarpal   ,168
Odisha ,Angul,NA,Kishorenagar,Dhaurapali  ,280.8
Odisha ,Angul,NA,Kishorenagar,Gaon Boinda   ,125.83
Odisha ,Angul,NA,Kishorenagar,Handapa   ,279.13
Odisha ,Angul,NA,Kishorenagar,Himitira   ,231.84
Odisha ,Angul,NA,Kishorenagar,Jairat   ,126.16
Odisha ,Angul,NA,Kishorenagar,Jamunali   ,115.74
Odisha ,Angul,NA,Kishorenagar,Jharberani   ,72
Odisha ,Angul,NA,Kishorenagar,Kadalimunda   ,115.23
Odisha ,Angul,NA,Kishorenagar,Kanteikulia   ,256.51
Odisha ,Angul,NA,Kishorenagar,Kataranga   ,144.47
Odisha ,Angul,NA,Kishorenagar,Nakchi,188.02
Odisha ,Angul,NA,Kishorenagar,Nunukapasi   ,128.65
Odisha ,Angul,NA,Kishorenagar,Oskapali   ,216.31
Odisha ,Angul,NA,Kishorenagar,Raniakata   ,153.58
Odisha ,Angul,NA,Kishorenagar,Sanjamura   ,360.9
Odisha ,Angul,NA,Kishorenagar,Urukula   ,305.65
Odisha ,Angul,NA,Kishorenagar,Luhamunda  ,0.02
Odisha ,Angul,NA,Kishorenagar,Total,3892.57
Odisha ,Angul,NA,Palalahada,Balipasi,12.87
Odisha ,Angul,NA,Palalahada,Total,12.87
Odisha ,Angul,NA,Talacher,Badajorada,63.01
Odisha ,Angul,NA,Talacher,Bantol,48.95
Odisha ,Angul,NA,Talacher,Brajanathpur,63.45
Odisha ,Angul,NA,Talacher,Danara,58.52
Odisha ,Angul,NA,Talacher,Dera,31.96
