State Name ,District Name,Urban Local Bodies (Municipality/Munipal Corparation/Nac,Block,Gp Ward,Total_IGNWPS
Odisha ,Angul,Angul Urban,NA,Ward 1,1.13
Odisha ,Angul,Angul Urban,NA,Ward 11,0.26
Odisha ,Angul,Angul Urban,NA,Ward 12,0.46
Odisha ,Angul,Angul Urban,NA,Ward 13,0.28
Odisha ,Angul,Angul Urban,NA,Ward 14,0.08
Odisha ,Angul,Angul Urban,NA,Ward 15,0.33
Odisha ,Angul,Angul Urban,NA,Ward 16,0.34
Odisha ,Angul,Angul Urban,NA,Ward 18,0.07
Odisha ,Angul,Angul Urban,NA,Ward 19,0.13
Odisha ,Angul,Angul Urban,NA,Ward 2,3.76
Odisha ,Angul,Angul Urban,NA,Ward 20,0.13
Odisha ,Angul,Angul Urban,NA,Ward 21,0.11
Odisha ,Angul,Angul Urban,NA,Ward 22,0.26
Odisha ,Angul,Angul Urban,NA,Ward 23,0.2
Odisha ,Angul,Angul Urban,NA,Ward 3,0.2
Odisha ,Angul,Angul Urban,NA,Ward 5,0.33
Odisha ,Angul,Angul Urban,NA,Ward 6,1.02
Odisha ,Angul,Angul Urban,NA,Ward 7,0.74
Odisha ,Angul,Angul Urban,NA,Ward 8,7.35
Odisha ,Angul,Angul Urban,NA,Ward 9,0.63
Odisha ,Angul,Angul Urban,NA,Total,17.81
Odisha ,Angul,NA,Anugul,Khalari,1.82
Odisha ,Angul,NA,Anugul,Total,1.82
Odisha ,Angul,NA,Athmallik,Aida   ,11.82
Odisha ,Angul,NA,Athmallik,Ambasarmunda   ,15.48
Odisha ,Angul,NA,Athmallik,Basudevpur  ,6.17
Odisha ,Angul,NA,Athmallik,Jamudoli   ,2.4
Odisha ,Angul,NA,Athmallik,Kampala  ,10.66
Odisha ,Angul,NA,Athmallik,Kandhapada   ,2.32
Odisha ,Angul,NA,Athmallik,Kantapada  ,18.78
Odisha ,Angul,NA,Athmallik,Kiakata   ,17.86
Odisha ,Angul,NA,Athmallik,Krutibaspur  ,17.1
Odisha ,Angul,NA,Athmallik,Kudagaon   ,10.3
