s_state,s_district,Urban Local Bodies (Municipality/Munipal Corparation/Nac,s_block,s_gp,Total_IGNDPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,angul,NA,anugul,khalari,0.13,1,anugul,angul,khalari
odisha,angul,NA,anugul,manikajodi,0.38,2,anugul,angul,manikajodi
odisha,angul,NA,athmallik,aida,2.01,3,anugul,athamallik,aida
odisha,angul,NA,athmallik,ambasarmunda,3.44,4,anugul,athamallik,ambasarmunda
odisha,angul,NA,athmallik,basudevpur,0.29,5,anugul,athamallik,basudevpur
odisha,angul,NA,athmallik,kandhapada,1.32,6,anugul,athamallik,kandhapada
odisha,angul,NA,athmallik,kantapada,0.23,7,anugul,athamallik,kantapada
odisha,angul,NA,athmallik,krutibaspur,1.72,8,anugul,athamallik,krutibaspur
odisha,angul,NA,athmallik,kudagaon,1.6,9,anugul,athamallik,kudagaon
odisha,angul,NA,athmallik,kurumtap,2.81,10,anugul,athamallik,kurumtap
odisha,angul,NA,athmallik,madhapur,2.24,11,anugul,athamallik,madhapur
odisha,angul,NA,athmallik,maimura,0.23,12,anugul,athamallik,maimura
odisha,angul,NA,athmallik,nagaon,1.15,13,anugul,athamallik,nagaon
odisha,angul,NA,athmallik,pedipathar,3.09,14,anugul,athamallik,pedipathar
odisha,angul,NA,athmallik,purunamanitri,0.79,15,anugul,athamallik,purunamanitri
odisha,angul,NA,athmallik,sanahula,2.58,16,anugul,athamallik,sanahula
odisha,angul,NA,athmallik,sapaghar,0.45,17,anugul,athamallik,sapaghar
odisha,angul,NA,athmallik,tapdhol,0.57,18,anugul,athamallik,tapdhol
odisha,angul,NA,athmallik,thakurgarh,0.23,19,anugul,athamallik,thakurgarh
odisha,angul,NA,athmallik,tusar,1.94,20,anugul,athamallik,tusar
odisha,angul,NA,banarpal,kulad,0.87,21,anugul,banarpal,kulad
odisha,angul,NA,banarpal,sankerjanga,2.94,22,anugul,banarpal,sankerjanga
odisha,angul,NA,chhendipada,bagedia,0.56,23,anugul,chhendipada,bagedia
odisha,angul,NA,chhendipada,bahalsahi,0.36,24,anugul,chhendipada,bahalsahi
odisha,angul,NA,chhendipada,balipata,2.35,25,anugul,chhendipada,balipata
odisha,angul,NA,chhendipada,barapada,0.84,26,anugul,chhendipada,barapada
odisha,angul,NA,chhendipada,barasahi,0.32,27,anugul,chhendipada,barasahi
odisha,angul,NA,chhendipada,basantapur,1.01,28,anugul,chhendipada,basantapur
odisha,angul,NA,chhendipada,brahmanbil,1.74,29,anugul,chhendipada,brahmanbil
odisha,angul,NA,chhendipada,changudia,1.01,30,anugul,chhendipada,changudia
odisha,angul,NA,chhendipada,chhendipada,3.81,31,anugul,chhendipada,chhendipada
odisha,angul,NA,chhendipada,durgapur,12.53,32,anugul,chhendipada,durgapur
odisha,angul,NA,chhendipada,jarapada,9.07,33,anugul,chhendipada,jarapada
odisha,angul,NA,chhendipada,jerang dehurisahi,6.75,34,anugul,chhendipada,jerang dehurisahi
odisha,angul,NA,chhendipada,kampasala,5,35,anugul,chhendipada,kampasala
odisha,angul,NA,chhendipada,kanaloi,1.23,36,anugul,chhendipada,kanaloi
odisha,angul,NA,chhendipada,katada,11.17,37,anugul,chhendipada,katada
odisha,angul,NA,chhendipada,korada,1.19,38,anugul,chhendipada,korada
odisha,angul,NA,chhendipada,kosala,11.51,39,anugul,chhendipada,kosala
odisha,angul,NA,chhendipada,kukurpeta,4.24,40,anugul,chhendipada,kukurpeta
odisha,angul,NA,chhendipada,kusakila,0.39,41,anugul,chhendipada,kusakila
odisha,angul,NA,chhendipada,machhakuta,7.6,42,anugul,chhendipada,machhakuta
odisha,angul,NA,chhendipada,natada,1.54,43,anugul,chhendipada,natada
odisha,angul,NA,chhendipada,nisa,1.54,44,anugul,chhendipada,nisa
odisha,angul,NA,chhendipada,nuagaon,1.06,45,anugul,chhendipada,nuagaon
odisha,angul,NA,chhendipada,ogi,2.51,46,anugul,chhendipada,ogi
odisha,angul,NA,chhendipada,para,2.31,47,anugul,chhendipada,para
odisha,angul,NA,chhendipada,patakamunda,3.83,48,anugul,chhendipada,patakamunda
odisha,angul,NA,chhendipada,patrapada,8.69,49,anugul,chhendipada,patrapada
odisha,angul,NA,chhendipada,raijharan,1.19,50,anugul,chhendipada,raijharan
odisha,angul,NA,chhendipada,similipal,4.55,51,anugul,chhendipada,similipal
odisha,angul,NA,chhendipada,t.kodasahi,4.62,52,anugul,chhendipada,t.kodasahi
odisha,angul,NA,chhendipada,tangiri,6.47,53,anugul,chhendipada,tangiri
odisha,angul,NA,chhendipada,tukuda,13.58,54,anugul,chhendipada,tukuda
odisha,angul,NA,chhendipada,paranga,3.09,55,anugul,chhendipada,paranga
odisha,angul,NA,kaniha,badagunduri,0.94,56,anugul,kaniha,badagunduri
odisha,angul,NA,kaniha,badatribida,1.16,57,anugul,kaniha,badatribida
odisha,angul,NA,kaniha,bajrakote,0.94,58,anugul,kaniha,bajrakote
odisha,angul,NA,kaniha,balipasi,0.46,59,anugul,kaniha,balipasi
odisha,angul,NA,kaniha,bijigol,2.32,60,anugul,kaniha,bijigol
odisha,angul,NA,kaniha,biru,0.41,61,anugul,kaniha,biru
odisha,angul,NA,kaniha,burukuna,1.16,62,anugul,kaniha,burukuna
odisha,angul,NA,kaniha,dalaka,2.2,63,anugul,kaniha,dalaka
odisha,angul,NA,kaniha,derang,1.41,64,anugul,kaniha,derang
odisha,angul,NA,kaniha,hanumanpur,0.69,65,anugul,kaniha,hanumanpur
odisha,angul,NA,kaniha,hariharpur,1.61,66,anugul,kaniha,hariharpur
odisha,angul,NA,kaniha,jarada,0.41,67,anugul,kaniha,jarada
odisha,angul,NA,kaniha,kakudia,1.18,68,anugul,kaniha,kakudia
odisha,angul,NA,kaniha,kamarei,2.09,69,anugul,kaniha,kamarei
odisha,angul,NA,kaniha,kaniha,3.63,70,anugul,kaniha,kaniha
odisha,angul,NA,kaniha,karnapal,1.21,71,anugul,kaniha,karnapal
odisha,angul,NA,kaniha,kulei,1.1,72,anugul,kaniha,kulei
odisha,angul,NA,kaniha,kuluma,0.46,73,anugul,kaniha,kuluma
odisha,angul,NA,kaniha,parabil,1.77,74,anugul,kaniha,parabil
odisha,angul,NA,kaniha,rengali,0.85,75,anugul,kaniha,rengali
odisha,angul,NA,kaniha,samal,1.9,76,anugul,kaniha,samal
odisha,angul,NA,kaniha,sanatribida,2.23,77,anugul,kaniha,sanatribida
odisha,angul,NA,kaniha,susuba,2.37,78,anugul,kaniha,susuba
odisha,angul,NA,kaniha,talapada,2.02,79,anugul,kaniha,talapada
odisha,angul,NA,kaniha,gadasila,3.53,80,anugul,kaniha,gadasila
odisha,angul,NA,kaniha,gandamala,2.02,81,anugul,kaniha,gandamala
odisha,angul,NA,kishorenagar,ambapal,4.82,82,anugul,kishorenagar,ambapal
odisha,angul,NA,kishorenagar,angapada,9.63,83,anugul,kishorenagar,angapada
odisha,angul,NA,kishorenagar,bamur,11.07,84,anugul,kishorenagar,bamur
odisha,angul,NA,kishorenagar,bileinali,6.02,85,anugul,kishorenagar,bileinali
odisha,angul,NA,kishorenagar,dhadarpal,21.67,86,anugul,kishorenagar,dhadarpal
odisha,angul,NA,kishorenagar,dhaurapali,13.2,87,anugul,kishorenagar,dhaurapali
