s_state,s_district,s_ulb,s_block,s_gp,Total_IGNDPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,angul,angul urban,angul urban,ward-1,0.14,1,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward-13,0.14,2,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward-14,0.28,3,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward-15,0.14,4,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward-16,0.14,5,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward-2,0.32,6,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward-22,0.14,7,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward-3,0.28,8,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward-8,0.42,9,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-1,4.28,10,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-10,1.43,11,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-12,2.58,12,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-16,1.43,13,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-17,2.03,14,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-18,1.43,15,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-19,5.71,16,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-2,2.86,17,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-20,2.95,18,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-5,3.46,19,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-6,2.86,20,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-7,4.28,21,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-8,9.23,22,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward-9,0.6,23,anugul,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-1,1.1,24,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-10,0.22,25,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-11,0.65,26,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-12,0.87,27,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-13,0.22,28,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-14,0.65,29,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-15,0.87,30,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-16,0.22,31,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-18,0.65,32,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-2,0.43,33,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-20,0.43,34,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-21,0.43,35,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-22,0.43,36,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward-23,0.22,37,balasore,NA,NA
