s_state,s_district,Urban Local Bodies (Munipal Corparation/Municipality / NAC,s_block,s_gp,Total_IGNOAPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,angul,NA,anugul,antulia,31.41,1,anugul,angul,antulia
odisha,angul,NA,anugul,khalari,2.22,2,anugul,angul,khalari
odisha,angul,NA,athmallik,aida,63.22,3,anugul,athamallik,aida
odisha,angul,NA,athmallik,ambasarmunda,36.11,4,anugul,athamallik,ambasarmunda
odisha,angul,NA,athmallik,basudevpur,17.9,5,anugul,athamallik,basudevpur
odisha,angul,NA,athmallik,jamudoli,23.83,6,anugul,athamallik,jamudoli
odisha,angul,NA,athmallik,kampala,53.8,7,anugul,athamallik,kampala
odisha,angul,NA,athmallik,kandhapada,59.27,8,anugul,athamallik,kandhapada
odisha,angul,NA,athmallik,kantapada,14.25,9,anugul,athamallik,kantapada
odisha,angul,NA,athmallik,kiakata,52.26,10,anugul,athamallik,kiakata
odisha,angul,NA,athmallik,krutibaspur,30.57,11,anugul,athamallik,krutibaspur
odisha,angul,NA,athmallik,kudagaon,44.53,12,anugul,athamallik,kudagaon
odisha,angul,NA,athmallik,kurumtap,25.81,13,anugul,athamallik,kurumtap
odisha,angul,NA,athmallik,luhasingha,26.13,14,anugul,athamallik,luhasingha
odisha,angul,NA,athmallik,lunahandi,49.14,15,anugul,athamallik,lunahandi
odisha,angul,NA,athmallik,madhapur,46.74,16,anugul,athamallik,madhapur
odisha,angul,NA,athmallik,maimura,23.4,17,anugul,athamallik,maimura
odisha,angul,NA,athmallik,nagaon,37.32,18,anugul,athamallik,nagaon
odisha,angul,NA,athmallik,paikasahi,27.72,19,anugul,athamallik,paikasahi
odisha,angul,NA,athmallik,pedipathar,52.66,20,anugul,athamallik,pedipathar
odisha,angul,NA,athmallik,purunamanitri,50.87,21,anugul,athamallik,purunamanitri
odisha,angul,NA,athmallik,sanahula,31.97,22,anugul,athamallik,sanahula
odisha,angul,NA,athmallik,sapaghar,49.59,23,anugul,athamallik,sapaghar
odisha,angul,NA,athmallik,tapdhol,22.43,24,anugul,athamallik,tapdhol
odisha,angul,NA,athmallik,thakurgarh,42.41,25,anugul,athamallik,thakurgarh
odisha,angul,NA,athmallik,tusar,46.52,26,anugul,athamallik,tusar
odisha,angul,NA,banarpal,badakerajanga,32.9,27,anugul,banarpal,badakerajanga
odisha,angul,NA,banarpal,sankerjanga,7.65,28,anugul,banarpal,sankerjanga
odisha,angul,NA,chhendipada,bagedia,15.07,29,anugul,chhendipada,bagedia
odisha,angul,NA,chhendipada,bahalsahi,144.49,30,anugul,chhendipada,bahalsahi
odisha,angul,NA,chhendipada,balipata,183.85,31,anugul,chhendipada,balipata
odisha,angul,NA,chhendipada,barapada,27.33,32,anugul,chhendipada,barapada
odisha,angul,NA,chhendipada,barasahi,130.35,33,anugul,chhendipada,barasahi
odisha,angul,NA,chhendipada,basantapur,137.36,34,anugul,chhendipada,basantapur
odisha,angul,NA,chhendipada,brahmanbil,181.31,35,anugul,chhendipada,brahmanbil
odisha,angul,NA,chhendipada,changudia,122.87,36,anugul,chhendipada,changudia
odisha,angul,NA,chhendipada,durgapur,115.69,37,anugul,chhendipada,durgapur
odisha,angul,NA,chhendipada,jarapada,105.42,38,anugul,chhendipada,jarapada
