s_state,s_district,s_ulb,s_block,s_gp,Total_IGNOAPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,angul,angul urban,angul urban,ward 1,0.74,1,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 11,0.15,2,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 12,0.22,3,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 13,0.61,4,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 14,0.15,5,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 15,1,6,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 16,1.22,7,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 18,0.15,8,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 19,0.15,9,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 2,1.19,10,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 20,0.39,11,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 23,0.3,12,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 5,0.39,13,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 6,0.54,14,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 7,0.7,15,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 8,1.12,16,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 9,1.06,17,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 1,18.97,18,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 10,11.09,19,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 11,20.25,20,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 12,18.75,21,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 13,6.89,22,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 14,1.75,23,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 15,4.7,24,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 16,24.54,25,anugul,NA,NA
