s_state,s_district,Urban Local Bodies (Municipality/Munipal Corparation/Nac,s_block,s_gp,Total_IGNWPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,angul,NA,anugul,khalari,1.82,1,anugul,angul,khalari
odisha,angul,NA,athmallik,aida,11.82,2,anugul,athamallik,aida
odisha,angul,NA,athmallik,ambasarmunda,15.48,3,anugul,athamallik,ambasarmunda
odisha,angul,NA,athmallik,basudevpur,6.17,4,anugul,athamallik,basudevpur
odisha,angul,NA,athmallik,jamudoli,2.4,5,anugul,athamallik,jamudoli
odisha,angul,NA,athmallik,kampala,10.66,6,anugul,athamallik,kampala
odisha,angul,NA,athmallik,kandhapada,2.32,7,anugul,athamallik,kandhapada
odisha,angul,NA,athmallik,kantapada,18.78,8,anugul,athamallik,kantapada
odisha,angul,NA,athmallik,kiakata,17.86,9,anugul,athamallik,kiakata
odisha,angul,NA,athmallik,krutibaspur,17.1,10,anugul,athamallik,krutibaspur
odisha,angul,NA,athmallik,kudagaon,10.3,11,anugul,athamallik,kudagaon
odisha,angul,NA,athmallik,kurumtap,12.7,12,anugul,athamallik,kurumtap
odisha,angul,NA,athmallik,luhasingha,5.76,13,anugul,athamallik,luhasingha
odisha,angul,NA,athmallik,lunahandi,3.45,14,anugul,athamallik,lunahandi
odisha,angul,NA,athmallik,madhapur,20.76,15,anugul,athamallik,madhapur
odisha,angul,NA,athmallik,maimura,18.59,16,anugul,athamallik,maimura
odisha,angul,NA,athmallik,nagaon,29.16,17,anugul,athamallik,nagaon
odisha,angul,NA,athmallik,paikasahi,10.66,18,anugul,athamallik,paikasahi
odisha,angul,NA,athmallik,pedipathar,17.25,19,anugul,athamallik,pedipathar
odisha,angul,NA,athmallik,purunamanitri,26.18,20,anugul,athamallik,purunamanitri
odisha,angul,NA,athmallik,sanahula,33.65,21,anugul,athamallik,sanahula
odisha,angul,NA,athmallik,sapaghar,11.78,22,anugul,athamallik,sapaghar
odisha,angul,NA,athmallik,tapdhol,5.77,23,anugul,athamallik,tapdhol
odisha,angul,NA,athmallik,thakurgarh,32.13,24,anugul,athamallik,thakurgarh
odisha,angul,NA,athmallik,tusar,7.49,25,anugul,athamallik,tusar
odisha,angul,NA,banarpal,kulad,4.26,26,anugul,banarpal,kulad
odisha,angul,NA,banarpal,sankerjanga,3.16,27,anugul,banarpal,sankerjanga
odisha,angul,NA,banarpal,badahinsara,3.77,28,anugul,banarpal,badahinsar
odisha,angul,NA,chhendipada,bahalsahi,44.76,29,anugul,chhendipada,bahalsahi
odisha,angul,NA,chhendipada,balipata,72,30,anugul,chhendipada,balipata
odisha,angul,NA,chhendipada,barapada,2.94,31,anugul,chhendipada,barapada
odisha,angul,NA,chhendipada,barasahi,74.29,32,anugul,chhendipada,barasahi
odisha,angul,NA,chhendipada,basantapur,22.59,33,anugul,chhendipada,basantapur
odisha,angul,NA,chhendipada,brahmanbil,60.95,34,anugul,chhendipada,brahmanbil
odisha,angul,NA,chhendipada,changudia,41.91,35,anugul,chhendipada,changudia
odisha,angul,NA,chhendipada,chhendipada,78.86,36,anugul,chhendipada,chhendipada
odisha,angul,NA,chhendipada,durgapur,51.94,37,anugul,chhendipada,durgapur
odisha,angul,NA,chhendipada,jarapada,47.97,38,anugul,chhendipada,jarapada
odisha,angul,NA,chhendipada,jerang dehurisahi,74.6,39,anugul,chhendipada,jerang dehurisahi
odisha,angul,NA,chhendipada,kampasala,58.79,40,anugul,chhendipada,kampasala
odisha,angul,NA,chhendipada,kanaloi,48.91,41,anugul,chhendipada,kanaloi
odisha,angul,NA,chhendipada,kankarei,9.45,42,anugul,chhendipada,kankarei
odisha,angul,NA,chhendipada,katada,92.03,43,anugul,chhendipada,katada
odisha,angul,NA,chhendipada,korada,89.94,44,anugul,chhendipada,korada
odisha,angul,NA,chhendipada,kosala,104.87,45,anugul,chhendipada,kosala
odisha,angul,NA,chhendipada,kukurpeta,39.8,46,anugul,chhendipada,kukurpeta
odisha,angul,NA,chhendipada,kusakila,3.91,47,anugul,chhendipada,kusakila
odisha,angul,NA,chhendipada,machhakuta,39.11,48,anugul,chhendipada,machhakuta
odisha,angul,NA,chhendipada,natada,43.62,49,anugul,chhendipada,natada
odisha,angul,NA,chhendipada,nisa,39.1,50,anugul,chhendipada,nisa
odisha,angul,NA,chhendipada,nuagaon,78.26,51,anugul,chhendipada,nuagaon
odisha,angul,NA,chhendipada,ogi,67.76,52,anugul,chhendipada,ogi
odisha,angul,NA,chhendipada,para,24.75,53,anugul,chhendipada,para
odisha,angul,NA,chhendipada,patakamunda,96.83,54,anugul,chhendipada,patakamunda
odisha,angul,NA,chhendipada,patrapada,82.28,55,anugul,chhendipada,patrapada
odisha,angul,NA,chhendipada,raijharan,68.76,56,anugul,chhendipada,raijharan
odisha,angul,NA,chhendipada,similipal,39.1,57,anugul,chhendipada,similipal
odisha,angul,NA,chhendipada,t.kodasahi,46.26,58,anugul,chhendipada,t.kodasahi
odisha,angul,NA,chhendipada,tangiri,52.94,59,anugul,chhendipada,tangiri
odisha,angul,NA,chhendipada,tukuda,71.23,60,anugul,chhendipada,tukuda
odisha,angul,NA,chhendipada,paranga,82.75,61,anugul,chhendipada,paranga
odisha,angul,NA,kaniha,gadasila,1.31,62,anugul,kaniha,gadasila
odisha,angul,NA,kishorenagar,ambapal,71.87,63,anugul,kishorenagar,ambapal
odisha,angul,NA,kishorenagar,angapada,46.77,64,anugul,kishorenagar,angapada
odisha,angul,NA,kishorenagar,bamur,48.07,65,anugul,kishorenagar,bamur
odisha,angul,NA,kishorenagar,bileinali,57.16,66,anugul,kishorenagar,bileinali
odisha,angul,NA,kishorenagar,dhadarpal,24.14,67,anugul,kishorenagar,dhadarpal
odisha,angul,NA,kishorenagar,dhaurapali,41.27,68,anugul,kishorenagar,dhaurapali
odisha,angul,NA,kishorenagar,gaon boinda,47.05,69,anugul,kishorenagar,gaon boinda
odisha,angul,NA,kishorenagar,handapa,12.33,70,anugul,kishorenagar,handapa
odisha,angul,NA,kishorenagar,himitira,20.52,71,anugul,kishorenagar,himitira
odisha,angul,NA,kishorenagar,jairat,32.11,72,anugul,kishorenagar,jairat
odisha,angul,NA,kishorenagar,jamunali,3.76,73,anugul,kishorenagar,jamunali
odisha,angul,NA,kishorenagar,jharberani,5.26,74,anugul,kishorenagar,jharberani
odisha,angul,NA,kishorenagar,kadalimunda,68.59,75,anugul,kishorenagar,kadalimunda
odisha,angul,NA,kishorenagar,kanteikulia,7.84,76,anugul,kishorenagar,kanteikulia
odisha,angul,NA,kishorenagar,kataranga,27.89,77,anugul,kishorenagar,kataranga
odisha,angul,NA,kishorenagar,nakchi,80.23,78,anugul,kishorenagar,nakchi
odisha,angul,NA,kishorenagar,nunukapasi,119.03,79,anugul,kishorenagar,nunukapasi
odisha,angul,NA,kishorenagar,oskapali,34.29,80,anugul,kishorenagar,oskapali
odisha,angul,NA,kishorenagar,raniakata,15.69,81,anugul,kishorenagar,raniakata
odisha,angul,NA,kishorenagar,sanjamura,50.27,82,anugul,kishorenagar,sanjamura
odisha,angul,NA,kishorenagar,urukula,43.26,83,anugul,kishorenagar,urukula
odisha,angul,NA,kishorenagar,luhamunda,0.02,84,anugul,kishorenagar,luhamunda
odisha,angul,NA,talacher,badajorada,66.88,85,anugul,talcher,badajorada
odisha,angul,NA,talacher,bantol,46.26,86,anugul,talcher,bantol
odisha,angul,NA,talacher,brajanathpur,54.19,87,anugul,talcher,brajanathpur
odisha,angul,NA,talacher,danara,54.2,88,anugul,talcher,danara
odisha,angul,NA,talacher,dera,27.64,89,anugul,talcher,dera
odisha,angul,NA,talacher,dharampur,138.94,90,anugul,talcher,dharampur
odisha,angul,NA,talacher,ghantapada,94.12,91,anugul,talcher,ghantapada
odisha,angul,NA,talacher,gobra,49.46,92,anugul,talcher,gobra
odisha,angul,NA,talacher,gopal prasad,102.94,93,anugul,talcher,gopal prasad
odisha,angul,NA,talacher,gurujang,37.68,94,anugul,talcher,gurujang
odisha,angul,NA,talacher,gurujanguli,39.75,95,anugul,talcher,gurujanguli
odisha,angul,NA,talacher,hensmul,20.9,96,anugul,talcher,hensmul
odisha,angul,NA,talacher,jaganathpur,28.45,97,anugul,talcher,jaganathpur
odisha,angul,NA,talacher,kalamchuin,143.16,98,anugul,talcher,kalamchuin
odisha,angul,NA,talacher,kandhal,33.58,99,anugul,talcher,kandhal
odisha,angul,NA,talacher,kankili,48.49,100,anugul,talcher,kankili
odisha,angul,NA,talacher,karnapur,36.39,101,anugul,talcher,karnapur
odisha,angul,NA,talacher,kumunda,53.77,102,anugul,talcher,kumunda
odisha,angul,NA,talacher,padmabatipur,60.64,103,anugul,talcher,padmabatipur
odisha,angul,NA,talacher,santhapada,35.71,104,anugul,talcher,santhapada
odisha,angul,NA,talacher,tentulei,27.35,105,anugul,talcher,tentulei
odisha,baleshwar,NA,bahanaga,bahanaga,7.23,106,balasore,bahanaga,bahanaga
odisha,baleshwar,NA,bahanaga,patharpentha,7.42,107,balasore,bahanaga,patharpentha
odisha,baleshwar,NA,bahanaga,dandaharipur,8.58,108,balasore,bahanaga,dandaharipur
odisha,baleshwar,NA,bahanaga,saud,10.51,109,balasore,bahanaga,saud
odisha,baleshwar,NA,bahanaga,chakjagannathpur,4.42,110,balasore,bahanaga,NA
odisha,baleshwar,NA,bahanaga,khantapada,20.78,111,balasore,bahanaga,khantapada
odisha,baleshwar,NA,bahanaga,kasabajaypur,6.89,112,balasore,bahanaga,kasabajaypur
odisha,baleshwar,NA,bahanaga,panapana,8.81,113,balasore,bahanaga,panapana
odisha,baleshwar,NA,bahanaga,gopalpur,1.38,114,balasore,bahanaga,gopalpur
odisha,baleshwar,NA,bahanaga,kalyani,6.75,115,balasore,bahanaga,kalyani
odisha,baleshwar,NA,bahanaga,baripada,12.06,116,balasore,bahanaga,baripada
odisha,baleshwar,NA,bahanaga,aruhabad,4.74,117,balasore,bahanaga,aruhabad
odisha,baleshwar,NA,bahanaga,bishnupur,8.39,118,balasore,bahanaga,bishnupur
odisha,baleshwar,NA,bahanaga,sahaspura,6.09,119,balasore,bahanaga,sahaspura
odisha,baleshwar,NA,bahanaga,anji,2.4,120,balasore,bahanaga,anji
odisha,baleshwar,NA,bahanaga,avana,4.29,121,balasore,bahanaga,avana
odisha,baleshwar,NA,bahanaga,kharasahapur,7.26,122,balasore,bahanaga,kharasahapur
odisha,baleshwar,NA,bahanaga,chittal,4.45,123,balasore,bahanaga,chittal
odisha,baleshwar,NA,bahanaga,kochiakoili,3.85,124,balasore,bahanaga,kochiakoili
odisha,baleshwar,NA,bahanaga,kuruda,4.59,125,balasore,bahanaga,kuruda
odisha,baleshwar,NA,bahanaga,talakurunia,3.98,126,balasore,bahanaga,talakurunia
odisha,baleshwar,NA,bahanaga,pandasuni,1.22,127,balasore,bahanaga,pandasuni
odisha,baleshwar,NA,bahanaga,odasal,3.65,128,balasore,bahanaga,odasal
odisha,baleshwar,NA,bahanaga,nuapur,6.4,129,balasore,bahanaga,nuapur
odisha,baleshwar,NA,baleshwar,jayadeba kasaba,34.15,130,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,buanl,68.77,131,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,parikhi,85.51,132,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,hidigan,39.88,133,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,genguti,65.37,134,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,odangi,41.22,135,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,ranasahi,60.16,136,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,kasipada,80.63,137,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,sartha,128.33,138,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,kuradiha,52.38,139,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,chhanua,88.23,140,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,bahabalpur,45.29,141,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,srirampur,80.05,142,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,haldipada,69.28,143,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,kasafal,84.5,144,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,nagram,52.04,145,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,rasalpur,101.4,146,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,olanda sargan,93.02,147,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,gudu,58.14,148,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,sindhia,45.29,149,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,sargan,72.61,150,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,gopinathpur,63.2,151,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,rasulpur,34.13,152,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,padmapur,39.88,153,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,srikona,53.4,154,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,sasang,40.36,155,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,patrapada,102.37,156,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,anko,39.21,157,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,rupsa samil hasanpur,39.88,158,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,alomeda,8.11,159,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,panchapada,17.77,160,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,dubulagadi,41.03,161,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,bardhanpur,37.27,162,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,khannagar,40.39,163,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,raisuna,60.16,164,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,baincha,44.87,165,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,chandipur,51.38,166,balasore,NA,NA
odisha,baleshwar,NA,baliapal,aladiha,8.74,167,balasore,baliapal,aladiha
odisha,baleshwar,NA,baliapal,asti,33.54,168,balasore,baliapal,asti
odisha,baleshwar,NA,baliapal,bodas,18.92,169,balasore,baliapal,bodas
odisha,baleshwar,NA,baliapal,baliapal,10.57,170,balasore,baliapal,baliapal
odisha,baleshwar,NA,baliapal,balikuti,11.7,171,balasore,baliapal,balikuti
odisha,baleshwar,NA,baliapal,baniadiha,13.59,172,balasore,baliapal,baniadiha
odisha,baleshwar,NA,baliapal,betagadia,11.18,173,balasore,baliapal,betagadia
odisha,baleshwar,NA,baliapal,bishnupur,14.1,174,balasore,baliapal,bishnupur
odisha,baleshwar,NA,baliapal,bolang,28.93,175,balasore,baliapal,bolang
odisha,baleshwar,NA,baliapal,chaumukh,12.68,176,balasore,baliapal,chaumukh
odisha,baleshwar,NA,baliapal,dagara,21.16,177,balasore,baliapal,dagara
odisha,baleshwar,NA,baliapal,debhog,8.95,178,balasore,baliapal,debhog
odisha,baleshwar,NA,baliapal,deula,18.86,179,balasore,baliapal,deula
odisha,baleshwar,NA,baliapal,ghantua,4.3,180,balasore,baliapal,ghantua
odisha,baleshwar,NA,baliapal,jagatipur,17.89,181,balasore,baliapal,jagatipur
odisha,baleshwar,NA,baliapal,jamakunda,12.04,182,balasore,baliapal,jamakunda
odisha,baleshwar,NA,baliapal,jambhirai,14.62,183,balasore,baliapal,jambhirai
odisha,baleshwar,NA,baliapal,kumbhari,5.5,184,balasore,baliapal,kumbhari
odisha,baleshwar,NA,baliapal,kunduli,22.43,185,balasore,baliapal,kunduli
odisha,baleshwar,NA,baliapal,madhupura,35.14,186,balasore,baliapal,madhupura
odisha,baleshwar,NA,baliapal,nikhira,16.7,187,balasore,baliapal,nikhira
odisha,baleshwar,NA,baliapal,nuagaon,11.24,188,balasore,baliapal,nuagaon
odisha,baleshwar,NA,baliapal,panchupalli,11.52,189,balasore,baliapal,panchupalli
odisha,baleshwar,NA,baliapal,pratappur,4.99,190,balasore,baliapal,pratappur
odisha,baleshwar,NA,baliapal,srirampur,8.33,191,balasore,baliapal,srirampur
odisha,baleshwar,NA,baliapal,ratei,6.88,192,balasore,baliapal,ratei
odisha,baleshwar,NA,baliapal,balarampur,14.24,193,balasore,baliapal,balarampur
