s_state,s_district,s_ulb,s_block,s_gp,Total_IGNWPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,angul,angul urban,angul urban,ward 1,1.13,1,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 11,0.26,2,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 12,0.46,3,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 13,0.28,4,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 14,0.08,5,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 15,0.33,6,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 16,0.34,7,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 18,0.07,8,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 19,0.13,9,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 2,3.76,10,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 20,0.13,11,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 21,0.11,12,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 22,0.26,13,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 23,0.2,14,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 3,0.2,15,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 5,0.33,16,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 6,1.02,17,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 7,0.74,18,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 8,7.35,19,anugul,NA,NA
odisha,angul,angul urban,angul urban,ward 9,0.63,20,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 1,7.36,21,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 10,17.9,22,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 11,37.77,23,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 12,20.05,24,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 13,4.78,25,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 14,2.82,26,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 15,3.5,27,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 16,16.17,28,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 17,3.21,29,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 18,13.34,30,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 19,9.6,31,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 2,13.3,32,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 20,4.49,33,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 21,11.97,34,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 3,5.24,35,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 4,20.6,36,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 5,22.9,37,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 6,15.57,38,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 7,15.37,39,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 8,13.46,40,anugul,NA,NA
odisha,angul,talcher urban,talcher urban,ward 9,15.54,41,anugul,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 1,16.73,42,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 10,7.86,43,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 11,5.87,44,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 12,6.64,45,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 13,5.31,46,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 14,2.06,47,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 15,6.57,48,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 16,0.85,49,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 17,1.09,50,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 18,2.41,51,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 19,1.33,52,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 2,4.61,53,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 20,1.86,54,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 21,4.36,55,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 22,3.02,56,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 23,3.86,57,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 24,2.77,58,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 25,1.22,59,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 26,1.94,60,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 27,2.41,61,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 28,0.6,62,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 29,2.66,63,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 3,5.93,64,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 30,3.16,65,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 31,3.02,66,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 4,2.89,67,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 5,1.44,68,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 6,5.65,69,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 7,5.79,70,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 8,2.66,71,balasore,NA,NA
odisha,baleshwar,balasore urban,balasore urban,ward 9,1.09,72,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 1,0.92,73,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 10,2.62,74,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 11,1.58,75,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 12,1.72,76,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 13,1.08,77,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 14,0.68,78,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 15,1.73,79,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 16,2.6,80,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 17,1.26,81,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 2,1.46,82,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 3,1.25,83,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 4,3.65,84,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 5,3.01,85,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 6,1.5,86,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 7,5.48,87,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 8,1.62,88,balasore,NA,NA
odisha,baleshwar,jaleswar urban,jaleswar urban,ward 9,1.57,89,balasore,NA,NA
odisha,baleshwar,nilagiri urban,nilagiri urban,ward 1,0.95,90,balasore,NA,NA
odisha,baleshwar,nilagiri urban,nilagiri urban,ward 10,0.65,91,balasore,NA,NA
odisha,baleshwar,nilagiri urban,nilagiri urban,ward 11,1.82,92,balasore,NA,NA
odisha,baleshwar,nilagiri urban,nilagiri urban,ward 12,2.32,93,balasore,NA,NA
odisha,baleshwar,nilagiri urban,nilagiri urban,ward 13,1.61,94,balasore,NA,NA
