State,District,Block,Sl. No,Name of Gram Panchayat,SC,ST,Minority,Others,Total
Odisha,Anugul,Angul,1,Angarbandha,10.7,1,0,42.5,54.2
Odisha,Anugul,Angul,2,Antulia,43.3,63.3,0,76.1,182.7
Odisha,Anugul,Angul,3,Badakantakul,44.3,50,0,46.8,141.1
Odisha,Anugul,Angul,4,Badakera,52.2,3.6,0,34.6,90.4
Odisha,Anugul,Angul,5,Balanga(New),6.2,24.6,0,30.7,61.5
Odisha,Anugul,Angul,6,Balasinga,24,10.4,0,35.3,69.7
Odisha,Anugul,Angul,7,Baluatakata,12.7,2.9,0,36.5,52.1
Odisha,Anugul,Angul,8,Bantala,4.2,5.2,0,30.2,39.6
Odisha,Anugul,Angul,9,Baragaunia,45,2.7,0,37.9,85.6
Odisha,Anugul,Angul,10,Basala,2,0,0,21.8,23.8
Odisha,Anugul,Angul,11,Bedasasan,22.1,2.8,0,21.6,46.5
Odisha,Anugul,Angul,12,Chheliapada,0,2.6,0,24.1,26.7
Odisha,Anugul,Angul,13,Dhakuta(New),22.2,9.1,0,31.1,62.4
Odisha,Anugul,Angul,14,Gadatarash,34.7,9.4,0,23.2,67.3
Odisha,Anugul,Angul,15,Inkarbandha,11.9,0,0,19,30.9
Odisha,Anugul,Angul,16,Jaganathapur,12,65.4,0,44.5,121.9
Odisha,Anugul,Angul,17,Kangula Bentapur,60.1,17.4,0,76.2,153.7
Odisha,Anugul,Angul,18,Khalari,17.5,4.8,0,19.3,41.6
Odisha,Anugul,Angul,19,Khinda,17.1,23.4,0,65,105.5
Odisha,Anugul,Angul,20,Kothabhuin,9.2,54.5,0,28.9,92.6
Odisha,Anugul,Angul,21,Kumursingha,27.7,15.4,0,35.5,78.6
Odisha,Anugul,Angul,22,Manikajodi,16.5,35.6,0,20.7,72.8
Odisha,Anugul,Angul,23,Matiasahi,97.3,35.5,0.7,32.8,166.3
Odisha,Anugul,Angul,24,Nandapur,29.9,11.4,0,49,90.3
Odisha,Anugul,Angul,25,Nuamauja,5.7,5.3,0,16.2,27.2
Odisha,Anugul,Angul,26,Pokatunga,15.4,8.8,0,23.2,47.4
Odisha,Anugul,Angul,27,Purnakote,2.2,30.8,0,12.3,45.3
Odisha,Anugul,Angul,28,Rantolei,10.6,0,0,16.6,27.2
Odisha,Anugul,Angul,29,Sankhapur,13.7,6,0,25.1,44.8
Odisha,Anugul,Angul,30,Saradhapur,11.5,28.3,0,17.9,57.7
Odisha,Anugul,Angul,31,Susuda,0.7,0.7,0,11.6,13
Odisha,Anugul,Angul,32,Tainsi,27.9,38.9,0,47,113.8
Odisha,Anugul,Angul,33,Talagada,0.7,4.5,0,18.3,23.5
Odisha,Anugul,Angul,34,Tikarpada,22.8,28,0,11,61.8
