s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,anugul,angul,1,angarbandha,10.7,1,0,42.5,54.2,1,anugul,angul,angarbandha
odisha,anugul,angul,2,antulia,43.3,63.3,0,76.1,182.7,2,anugul,angul,antulia
odisha,anugul,angul,3,badakantakul,44.3,50,0,46.8,141.1,3,anugul,angul,badakantakul
odisha,anugul,angul,4,badakera,52.2,3.6,0,34.6,90.4,4,anugul,angul,badakera
odisha,anugul,angul,5,balanga(new),6.2,24.6,0,30.7,61.5,5,anugul,angul,balanga(new)
odisha,anugul,angul,6,balasinga,24,10.4,0,35.3,69.7,6,anugul,angul,balasinga
odisha,anugul,angul,7,baluatakata,12.7,2.9,0,36.5,52.1,7,anugul,angul,baluatakata
odisha,anugul,angul,8,bantala,4.2,5.2,0,30.2,39.6,8,anugul,angul,bantala
odisha,anugul,angul,9,baragaunia,45,2.7,0,37.9,85.6,9,anugul,angul,baragaunia
odisha,anugul,angul,10,basala,2,0,0,21.8,23.8,10,anugul,angul,basala
odisha,anugul,angul,11,bedasasan,22.1,2.8,0,21.6,46.5,11,anugul,angul,bedasasan
odisha,anugul,angul,12,chheliapada,0,2.6,0,24.1,26.7,12,anugul,angul,chheliapada
odisha,anugul,angul,13,dhakuta(new),22.2,9.1,0,31.1,62.4,13,anugul,angul,dhakuta(new)
odisha,anugul,angul,14,gadatarash,34.7,9.4,0,23.2,67.3,14,anugul,angul,gadatarash
odisha,anugul,angul,15,inkarbandha,11.9,0,0,19,30.9,15,anugul,angul,inkarbandha
odisha,anugul,angul,16,jaganathapur,12,65.4,0,44.5,121.9,16,anugul,angul,jaganathapur
odisha,anugul,angul,17,kangula bentapur,60.1,17.4,0,76.2,153.7,17,anugul,angul,kangula bentapur
odisha,anugul,angul,18,khalari,17.5,4.8,0,19.3,41.6,18,anugul,angul,khalari
odisha,anugul,angul,19,khinda,17.1,23.4,0,65,105.5,19,anugul,angul,khinda
odisha,anugul,angul,20,kothabhuin,9.2,54.5,0,28.9,92.6,20,anugul,angul,kothabhuin
odisha,anugul,angul,21,kumursingha,27.7,15.4,0,35.5,78.6,21,anugul,angul,kumursingha
odisha,anugul,angul,22,manikajodi,16.5,35.6,0,20.7,72.8,22,anugul,angul,manikajodi
odisha,anugul,angul,23,matiasahi,97.3,35.5,0.7,32.8,166.3,23,anugul,angul,matiasahi
odisha,anugul,angul,24,nandapur,29.9,11.4,0,49,90.3,24,anugul,angul,nandapur
odisha,anugul,angul,25,nuamauja,5.7,5.3,0,16.2,27.2,25,anugul,angul,nuamauja
