State ,District,Block,Sl.No,Name of Gram Panchayat ,SC,ST,Minority,Others,Total
Odisha,Anugul,Angul,1,Angarbandha,8.1,4.1,0,39,51.2
Odisha,Anugul,Angul,2,Antulia,74.9,79.9,0,49.8,204.6
Odisha,Anugul,Angul,3,Badakantakul,50.3,53.9,0,42.7,146.9
Odisha,Anugul,Angul,4,Badakera,64.6,2.6,0,26.7,93.9
Odisha,Anugul,Angul,5,Balanga(New),3.1,21.6,0,34.4,59.1
Odisha,Anugul,Angul,6,Balasinga,22.6,7.3,0,45.1,75
Odisha,Anugul,Angul,7,Baluatakata,4.7,0,0,22.1,26.8
Odisha,Anugul,Angul,8,Bantala,7.3,3.4,0,10.1,20.8
Odisha,Anugul,Angul,9,Baragaunia,43.9,0.3,0,39.1,83.3
Odisha,Anugul,Angul,10,Basala,2.3,0,0,2.4,4.7
Odisha,Anugul,Angul,11,Bedasasan,9.2,6,0,25.5,40.7
Odisha,Anugul,Angul,12,Chheliapada,0,0.6,0,8.7,9.3
Odisha,Anugul,Angul,13,Dhakuta(New),30.3,5.4,0,25,60.7
Odisha,Anugul,Angul,14,Gadatarash,14.4,0.9,0,22.1,37.4
Odisha,Anugul,Angul,15,Inkarbandha,14.2,0,0,19.9,34.1
Odisha,Anugul,Angul,16,Jaganathapur,1.5,10.3,0,33.5,45.3
Odisha,Anugul,Angul,17,Kangula Bentapur,39.1,7.1,0,57,103.2
Odisha,Anugul,Angul,18,Khalari,3.2,5.2,0,4.9,13.3
Odisha,Anugul,Angul,19,Khinda,6.1,6.1,0,31.5,43.7
Odisha,Anugul,Angul,20,Kothabhuin,6.3,39.4,0,38.3,84
Odisha,Anugul,Angul,21,Kumursingha,25.9,2.3,0,35.7,63.9
Odisha,Anugul,Angul,22,Manikajodi,22.1,33.1,0,16.4,71.6
Odisha,Anugul,Angul,23,Matiasahi,38.6,1.3,0,39.7,79.6
Odisha,Anugul,Angul,24,Nandapur,27.7,19.7,0,40,87.4
Odisha,Anugul,Angul,25,Nuamauja,1,2.6,0,14.3,17.9
Odisha,Anugul,Angul,26,Pokatunga,15.5,1.5,0,27.2,44.2
Odisha,Anugul,Angul,27,Purnakote,2.4,34,0,14.2,50.6
Odisha,Anugul,Angul,28,Rantolei,3.1,0.7,0,19.1,22.9
Odisha,Anugul,Angul,29,Sankhapur,7.8,4.6,0,27.1,39.5
Odisha,Anugul,Angul,30,Saradhapur,7.6,35.4,0,19.6,62.6
Odisha,Anugul,Angul,31,Susuda,1.5,0.2,0,4.3,6
Odisha,Anugul,Angul,32,Tainsi,40.2,22,2.4,45.3,109.9
Odisha,Anugul,Angul,33,Talagada,1,3.4,0,11.5,15.9
Odisha,Anugul,Angul,34,Tikarpada,20,14.4,0,16.2,50.6
Odisha,Anugul,Angul,,Total,620.5,429.3,2.4,908.4,1960.6
