s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,anugul,angul,1,angarbandha,8.1,4.1,0,39,51.2,1,anugul,angul,angarbandha
odisha,anugul,angul,2,antulia,74.9,79.9,0,49.8,204.6,2,anugul,angul,antulia
odisha,anugul,angul,3,badakantakul,50.3,53.9,0,42.7,146.9,3,anugul,angul,badakantakul
odisha,anugul,angul,4,badakera,64.6,2.6,0,26.7,93.9,4,anugul,angul,badakera
odisha,anugul,angul,5,balanga(new),3.1,21.6,0,34.4,59.1,5,anugul,angul,balanga(new)
odisha,anugul,angul,6,balasinga,22.6,7.3,0,45.1,75,6,anugul,angul,balasinga
odisha,anugul,angul,7,baluatakata,4.7,0,0,22.1,26.8,7,anugul,angul,baluatakata
odisha,anugul,angul,8,bantala,7.3,3.4,0,10.1,20.8,8,anugul,angul,bantala
odisha,anugul,angul,9,baragaunia,43.9,0.3,0,39.1,83.3,9,anugul,angul,baragaunia
odisha,anugul,angul,10,basala,2.3,0,0,2.4,4.7,10,anugul,angul,basala
odisha,anugul,angul,11,bedasasan,9.2,6,0,25.5,40.7,11,anugul,angul,bedasasan
odisha,anugul,angul,12,chheliapada,0,0.6,0,8.7,9.3,12,anugul,angul,chheliapada
odisha,anugul,angul,13,dhakuta(new),30.3,5.4,0,25,60.7,13,anugul,angul,dhakuta(new)
odisha,anugul,angul,14,gadatarash,14.4,0.9,0,22.1,37.4,14,anugul,angul,gadatarash
odisha,anugul,angul,15,inkarbandha,14.2,0,0,19.9,34.1,15,anugul,angul,inkarbandha
odisha,anugul,angul,16,jaganathapur,1.5,10.3,0,33.5,45.3,16,anugul,angul,jaganathapur
odisha,anugul,angul,17,kangula bentapur,39.1,7.1,0,57,103.2,17,anugul,angul,kangula bentapur
odisha,anugul,angul,18,khalari,3.2,5.2,0,4.9,13.3,18,anugul,angul,khalari
odisha,anugul,angul,19,khinda,6.1,6.1,0,31.5,43.7,19,anugul,angul,khinda
odisha,anugul,angul,20,kothabhuin,6.3,39.4,0,38.3,84,20,anugul,angul,kothabhuin
odisha,anugul,angul,21,kumursingha,25.9,2.3,0,35.7,63.9,21,anugul,angul,kumursingha
odisha,anugul,angul,22,manikajodi,22.1,33.1,0,16.4,71.6,22,anugul,angul,manikajodi
odisha,anugul,angul,23,matiasahi,38.6,1.3,0,39.7,79.6,23,anugul,angul,matiasahi
odisha,anugul,angul,24,nandapur,27.7,19.7,0,40,87.4,24,anugul,angul,nandapur
odisha,anugul,angul,25,nuamauja,1,2.6,0,14.3,17.9,25,anugul,angul,nuamauja
odisha,anugul,angul,26,pokatunga,15.5,1.5,0,27.2,44.2,26,anugul,angul,pokatunga
odisha,anugul,angul,27,purnakote,2.4,34,0,14.2,50.6,27,anugul,angul,purnakote
odisha,anugul,angul,28,rantolei,3.1,0.7,0,19.1,22.9,28,anugul,angul,rantolei
odisha,anugul,angul,29,sankhapur,7.8,4.6,0,27.1,39.5,29,anugul,angul,sankhapur
